VF, IF
-10.0, -2.0204e-06
-9.8, -2.0218e-06
-9.6, -1.9986e-06
-9.4, -1.9915e-06
-9.2, -1.9669e-06
-9.0, -1.9611e-06
-8.8, -1.9409e-06
-8.6, -1.8971e-06
-8.4, -1.8657e-06
-8.2, -1.845e-06
-8.0, -1.8055e-06
-7.8, -1.768e-06
-7.6, -1.7385e-06
-7.4, -1.7007e-06
-7.2, -1.6625e-06
-7.0, -1.6164e-06
-6.8, -1.5682e-06
-6.6, -1.5245e-06
-6.4, -1.4891e-06
-6.2, -1.4382e-06
-6.0, -1.4012e-06
-5.8, -1.3569e-06
-5.6, -1.3111e-06
-5.4, -1.261e-06
-5.2, -1.2128e-06
-5.0, -1.1753e-06
-4.8, -1.1253e-06
-4.6, -1.0823e-06
-4.4, -1.0436e-06
-4.2, -9.9995e-07
-4.0, -9.5101e-07
-3.8, -9.0695e-07
-3.6, -8.5971e-07
-3.4, -8.0946e-07
-3.2, -7.6459e-07
-3.0, -7.2117e-07
-2.8, -6.7528e-07
-2.6, -6.2712e-07
-2.4, -5.7683e-07
-2.2, -5.3134e-07
-2.0, -4.8113e-07
-1.8, -4.3216e-07
-1.6, -3.8387e-07
-1.4, -3.3424e-07
-1.2, -2.8549e-07
-1.0, -2.3603e-07
-0.8, -1.86e-07
-0.6, -1.3926e-07
-0.4, -9.1658e-08
-0.2, -4.5279e-08
0.0, 9.603e-11
0.2, 4.6899e-08
0.4, 9.5117e-08
0.6, 1.4626e-07
0.8, 2.0011e-07
1.0, 2.5363e-07
1.2, 3.1253e-07
1.4, 3.7337e-07
1.6, 4.343e-07
1.8, 4.9972e-07
2.0, 5.6352e-07
2.2, 6.3233e-07
2.4, 6.9753e-07
2.6, 7.6216e-07
2.8, 8.3288e-07
3.0, 9.0288e-07
3.2, 9.7088e-07
3.4, 1.0457e-06
3.6, 1.12e-06
3.8, 1.1985e-06
4.0, 1.2765e-06
4.2, 1.3463e-06
4.4, 1.4217e-06
4.6, 1.5001e-06
4.8, 1.5722e-06
5.0, 1.6528e-06
5.2, 1.7292e-06
5.4, 1.8161e-06
5.6, 1.8927e-06
5.8, 1.97e-06
6.0, 2.0451e-06
6.2, 2.1287e-06
6.4, 2.2219e-06
6.6, 2.2924e-06
6.8, 2.367e-06
7.0, 2.4461e-06
7.2, 2.5352e-06
7.4, 2.6235e-06
7.6, 2.7034e-06
7.8, 2.7847e-06
8.0, 2.8703e-06
8.2, 2.9533e-06
8.4, 3.034e-06
8.6, 3.1168e-06
8.8, 3.187e-06
9.0, 3.2662e-06
9.2, 3.3492e-06
9.4, 3.424e-06
9.6, 3.4914e-06
9.8, 3.5535e-06
10.0, 3.6429e-06
