VF, IF
-10.0, -2.616e-09
-9.8, -2.4773e-09
-9.6, -2.38e-09
-9.4, -2.2993e-09
-9.2, -2.231e-09
-9.0, -2.1636e-09
-8.8, -2.1003e-09
-8.6, -2.0419e-09
-8.4, -1.9855e-09
-8.2, -1.9291e-09
-8.0, -1.8711e-09
-7.8, -1.8159e-09
-7.6, -1.7609e-09
-7.4, -1.7075e-09
-7.2, -1.6553e-09
-7.0, -1.6042e-09
-6.8, -1.5568e-09
-6.6, -1.5131e-09
-6.4, -1.4713e-09
-6.2, -1.4304e-09
-6.0, -1.3878e-09
-5.8, -1.3429e-09
-5.6, -1.2978e-09
-5.4, -1.2507e-09
-5.2, -1.2024e-09
-5.0, -1.1548e-09
-4.8, -1.1064e-09
-4.6, -1.0577e-09
-4.4, -1.0087e-09
-4.2, -9.7495e-10
-4.0, -9.3257e-10
-3.8, -8.7756e-10
-3.6, -8.3241e-10
-3.4, -7.7739e-10
-3.2, -7.2092e-10
-3.0, -6.7344e-10
-2.8, -6.2747e-10
-2.6, -5.8145e-10
-2.4, -5.3133e-10
-2.2, -4.8232e-10
-2.0, -4.3686e-10
-1.8, -3.9359e-10
-1.6, -3.5055e-10
-1.4, -3.075e-10
-1.2, -2.638e-10
-1.0, -2.2078e-10
-0.8, -1.7791e-10
-0.6, -1.3544e-10
-0.4, -9.295e-11
-0.2, -5.147e-11
0.0, -9.04e-12
0.2, 3.267e-11
0.4, 7.488e-11
0.6, 1.1753e-10
0.8, 1.5839e-10
1.0, 2.0017e-10
1.2, 2.4233e-10
1.4, 2.8385e-10
1.6, 3.2489e-10
1.8, 3.6702e-10
2.0, 4.0873e-10
2.2, 4.4985e-10
2.4, 4.9095e-10
2.6, 5.3167e-10
2.8, 5.7338e-10
3.0, 6.1507e-10
3.2, 6.5734e-10
3.4, 6.9925e-10
3.6, 7.4166e-10
3.8, 7.8376e-10
4.0, 8.2832e-10
4.2, 8.7177e-10
4.4, 9.1583e-10
4.6, 9.5644e-10
4.8, 9.9834e-10
5.0, 1.0395e-09
5.2, 1.0828e-09
5.4, 1.1237e-09
5.6, 1.1665e-09
5.8, 1.2107e-09
6.0, 1.2556e-09
6.2, 1.3098e-09
6.4, 1.3704e-09
6.6, 1.4533e-09
6.8, 1.5795e-09
7.0, 1.7996e-09
7.2, 2.0806e-09
7.4, 2.4741e-09
7.6, 2.93e-09
7.8, 3.4493e-09
8.0, 4.0078e-09
8.2, 4.5546e-09
8.4, 5.4483e-09
8.6, 6.4452e-09
8.8, 8.5932e-09
9.0, 1.1648e-05
9.2, 1.1938e-05
9.4, 8.8216e-06
9.6, 6.4979e-06
9.8, 1.7276e-05
10.0, 1.8095e-05
