VF, IF
-10.0, -1.2789e-06
-9.8, -1.2559e-06
-9.6, -1.24e-06
-9.4, -1.2246e-06
-9.2, -1.218e-06
-9.0, -1.2056e-06
-8.8, -1.1877e-06
-8.6, -1.1746e-06
-8.4, -1.1586e-06
-8.2, -1.1412e-06
-8.0, -1.115e-06
-7.8, -1.0931e-06
-7.6, -1.0696e-06
-7.4, -1.0511e-06
-7.2, -1.0324e-06
-7.0, -1.0066e-06
-6.8, -9.839e-07
-6.6, -9.5845e-07
-6.4, -9.3663e-07
-6.2, -9.1476e-07
-6.0, -8.8774e-07
-5.8, -8.618e-07
-5.6, -8.367e-07
-5.4, -8.1037e-07
-5.2, -7.8247e-07
-5.0, -7.5393e-07
-4.8, -7.2837e-07
-4.6, -7.0166e-07
-4.4, -6.7474e-07
-4.2, -6.4665e-07
-4.0, -6.1731e-07
-3.8, -5.9033e-07
-3.6, -5.5956e-07
-3.4, -5.2901e-07
-3.2, -5.0297e-07
-3.0, -4.7204e-07
-2.8, -4.4218e-07
-2.6, -4.1002e-07
-2.4, -3.7953e-07
-2.2, -3.4878e-07
-2.0, -3.1789e-07
-1.8, -2.873e-07
-1.6, -2.5594e-07
-1.4, -2.2632e-07
-1.2, -1.9458e-07
-1.0, -1.6335e-07
-0.8, -1.3223e-07
-0.6, -9.9283e-08
-0.4, -6.6755e-08
-0.2, -3.3558e-08
0.0, 7.638e-11
0.2, 3.4177e-08
0.4, 6.9403e-08
0.6, 1.0627e-07
0.8, 1.434e-07
1.0, 1.8143e-07
1.2, 2.2102e-07
1.4, 2.6342e-07
1.6, 3.026e-07
1.8, 3.4671e-07
2.0, 3.9097e-07
2.2, 4.361e-07
2.4, 4.8242e-07
2.6, 5.2802e-07
2.8, 5.753e-07
3.0, 6.2161e-07
3.2, 6.7054e-07
3.4, 7.1893e-07
3.6, 7.6925e-07
3.8, 8.2023e-07
4.0, 8.7259e-07
4.2, 9.2348e-07
4.4, 9.7454e-07
4.6, 1.0304e-06
4.8, 1.0883e-06
5.0, 1.1383e-06
5.2, 1.1941e-06
5.4, 1.2525e-06
5.6, 1.3061e-06
5.8, 1.3604e-06
6.0, 1.4157e-06
6.2, 1.4737e-06
6.4, 1.5323e-06
6.6, 1.5899e-06
6.8, 1.6441e-06
7.0, 1.7054e-06
7.2, 1.7675e-06
7.4, 1.8246e-06
7.6, 1.8793e-06
7.8, 1.9383e-06
8.0, 2.0009e-06
8.2, 2.063e-06
8.4, 2.1231e-06
8.6, 2.1879e-06
8.8, 2.2471e-06
9.0, 2.3139e-06
9.2, 2.3777e-06
9.4, 2.4388e-06
9.6, 2.5039e-06
9.8, 2.5789e-06
10.0, 2.6355e-06
