VF, IF
-10.0, -8.7627e-05
-9.8, -8.6193e-05
-9.6, -8.5262e-05
-9.4, -8.4178e-05
-9.2, -8.2138e-05
-9.0, -8.0794e-05
-8.8, -7.9203e-05
-8.6, -7.7354e-05
-8.4, -7.5578e-05
-8.2, -7.3913e-05
-8.0, -7.2195e-05
-7.8, -7.0412e-05
-7.6, -6.8349e-05
-7.4, -6.6467e-05
-7.2, -6.4645e-05
-7.0, -6.2793e-05
-6.8, -6.0943e-05
-6.6, -5.9129e-05
-6.4, -5.7253e-05
-6.2, -5.5305e-05
-6.0, -5.338e-05
-5.8, -5.1493e-05
-5.6, -4.9586e-05
-5.4, -4.7643e-05
-5.2, -4.5644e-05
-5.0, -4.3681e-05
-4.8, -4.1723e-05
-4.6, -3.9862e-05
-4.4, -3.7847e-05
-4.2, -3.5892e-05
-4.0, -3.3938e-05
-3.8, -3.1979e-05
-3.6, -3e-05
-3.4, -2.8063e-05
-3.2, -2.6133e-05
-3.0, -2.4183e-05
-2.8, -2.2267e-05
-2.6, -2.0378e-05
-2.4, -1.8463e-05
-2.2, -1.6607e-05
-2.0, -1.4751e-05
-1.8, -1.2942e-05
-1.6, -1.1143e-05
-1.4, -9.3976e-06
-1.2, -7.6952e-06
-1.0, -6.0607e-06
-0.8, -4.459e-06
-0.6, -2.9972e-06
-0.4, -1.7166e-06
-0.2, -6.8752e-07
0.0, 1e-12
0.2, 7.2349e-07
0.4, 1.9094e-06
0.6, 3.3011e-06
0.8, 4.8035e-06
1.0, 6.3804e-06
1.2, 8.0597e-06
1.4, 9.8937e-06
1.6, 1.1739e-05
1.8, 1.3637e-05
2.0, 1.5653e-05
2.2, 1.7644e-05
2.4, 1.9657e-05
2.6, 2.1781e-05
2.8, 2.3945e-05
3.0, 2.6103e-05
3.2, 2.8268e-05
3.4, 3.0517e-05
3.6, 3.2928e-05
3.8, 3.5129e-05
4.0, 3.7483e-05
4.2, 3.9817e-05
4.4, 4.1973e-05
4.6, 4.4653e-05
4.8, 4.712e-05
5.0, 4.949e-05
5.2, 5.2309e-05
5.4, 5.469e-05
5.6, 5.7639e-05
5.8, 6.1466e-05
6.0, 6.4821e-05
6.2, 6.7207e-05
6.4, 7.0077e-05
6.6, 7.4464e-05
6.8, 7.6911e-05
7.0, 8.0211e-05
7.2, 8.3179e-05
7.4, 8.6601e-05
7.6, 8.9273e-05
7.8, 9.1977e-05
8.0, 9.4583e-05
8.2, 9.7487e-05
8.4, 0.00010111
8.6, 0.00010391
8.8, 0.00010731
9.0, 0.00010975
9.2, 0.00011233
9.4, 0.00011496
9.6, 0.00011871
9.8, 0.00012234
10.0, 0.000125
