VF, IF
-10.0, -7.7591e-08
-9.8, -5.9471e-08
-9.6, -4.9771e-08
-9.4, -4.2883e-08
-9.2, -3.7386e-08
-9.0, -3.3231e-08
-8.8, -2.8388e-08
-8.6, -2.5376e-08
-8.4, -2.2596e-08
-8.2, -2.0148e-08
-8.0, -1.8214e-08
-7.8, -1.6608e-08
-7.6, -1.5348e-08
-7.4, -1.4202e-08
-7.2, -1.3217e-08
-7.0, -1.2292e-08
-6.8, -1.1417e-08
-6.6, -1.0809e-08
-6.4, -1.0197e-08
-6.2, -9.7518e-09
-6.0, -9.1966e-09
-5.8, -8.4191e-09
-5.6, -7.9095e-09
-5.4, -7.5931e-09
-5.2, -7.2234e-09
-5.0, -6.6783e-09
-4.8, -6.2246e-09
-4.6, -5.7735e-09
-4.4, -5.3689e-09
-4.2, -4.9687e-09
-4.0, -4.5872e-09
-3.8, -4.2137e-09
-3.6, -3.8338e-09
-3.4, -3.4172e-09
-3.2, -3.0115e-09
-3.0, -2.5826e-09
-2.8, -2.1857e-09
-2.6, -1.8021e-09
-2.4, -1.4642e-09
-2.2, -1.1749e-09
-2.0, -9.547e-10
-1.8, -7.8868e-10
-1.6, -6.3234e-10
-1.4, -4.9404e-10
-1.2, -3.7526e-10
-1.0, -2.6499e-10
-0.8, -1.5887e-10
-0.6, -6.297e-11
-0.4, 4.2e-11
-0.2, 1.6275e-10
0.0, 2.9729e-10
0.2, 4.3438e-10
0.4, 6.5114e-10
0.6, 1.0597e-09
0.8, 1.5009e-09
1.0, 2.1425e-09
1.2, 3.367e-09
1.4, 4.376e-09
1.6, 4.4035e-09
1.8, 4.0614e-09
2.0, 3.5804e-09
2.2, 3.4667e-09
2.4, 3.5348e-09
2.6, 4.4485e-09
2.8, 6.486e-09
3.0, 8.9859e-09
3.2, 1.1547e-08
3.4, 1.4097e-08
3.6, 1.6614e-08
3.8, 1.9048e-08
4.0, 2.1338e-08
4.2, 2.3343e-08
4.4, 2.4885e-08
4.6, 2.5771e-08
4.8, 2.692e-08
5.0, 2.7499e-08
5.2, 2.7807e-08
5.4, 2.8999e-08
5.6, 2.9874e-08
5.8, 2.9479e-08
6.0, 2.9133e-08
6.2, 2.9027e-08
6.4, 2.9201e-08
6.6, 2.9187e-08
6.8, 2.8907e-08
7.0, 2.8568e-08
7.2, 2.8224e-08
7.4, 2.796e-08
7.6, 2.7568e-08
7.8, 2.7176e-08
8.0, 2.6809e-08
8.2, 2.6251e-08
8.4, 2.5533e-08
8.6, 2.5313e-08
8.8, 2.4988e-08
9.0, 2.461e-08
9.2, 2.4161e-08
9.4, 2.3869e-08
9.6, 2.3603e-08
9.8, 2.3301e-08
10.0, 2.3023e-08
