VF, IF
-10.0, -3.7805e-05
-9.8, -3.6506e-05
-9.6, -3.5302e-05
-9.4, -3.4514e-05
-9.2, -3.3484e-05
-9.0, -3.2693e-05
-8.8, -3.1641e-05
-8.6, -3.0876e-05
-8.4, -2.9885e-05
-8.2, -2.9343e-05
-8.0, -2.8358e-05
-7.8, -2.7697e-05
-7.6, -2.6754e-05
-7.4, -2.6288e-05
-7.2, -2.5408e-05
-7.0, -2.4546e-05
-6.8, -2.3517e-05
-6.6, -2.2679e-05
-6.4, -2.1957e-05
-6.2, -2.1154e-05
-6.0, -2.0376e-05
-5.8, -1.9529e-05
-5.6, -1.88e-05
-5.4, -1.7973e-05
-5.2, -1.7133e-05
-5.0, -1.6416e-05
-4.8, -1.5612e-05
-4.6, -1.4837e-05
-4.4, -1.4119e-05
-4.2, -1.3351e-05
-4.0, -1.264e-05
-3.8, -1.1899e-05
-3.6, -1.1174e-05
-3.4, -1.0453e-05
-3.2, -9.7706e-06
-3.0, -9.0605e-06
-2.8, -8.3904e-06
-2.6, -7.7157e-06
-2.4, -7.0628e-06
-2.2, -6.4108e-06
-2.0, -5.7625e-06
-1.8, -5.144e-06
-1.6, -4.5259e-06
-1.4, -3.921e-06
-1.2, -3.3227e-06
-1.0, -2.7413e-06
-0.8, -2.1729e-06
-0.6, -1.6123e-06
-0.4, -1.062e-06
-0.2, -5.2739e-07
0.0, 2.777e-11
0.2, 5.1971e-07
0.4, 1.0303e-06
0.6, 1.5332e-06
0.8, 2.0272e-06
1.0, 2.5078e-06
1.2, 2.9837e-06
1.4, 3.4492e-06
1.6, 3.9055e-06
1.8, 4.3534e-06
2.0, 4.7962e-06
2.2, 5.2339e-06
2.4, 5.6621e-06
2.6, 6.086e-06
2.8, 6.5002e-06
3.0, 6.9098e-06
3.2, 7.3144e-06
3.4, 7.7043e-06
3.6, 8.1001e-06
3.8, 8.4793e-06
4.0, 8.8592e-06
4.2, 9.2307e-06
4.4, 9.5917e-06
4.6, 9.9542e-06
4.8, 1.0307e-05
5.0, 1.0683e-05
5.2, 1.1018e-05
5.4, 1.1353e-05
5.6, 1.169e-05
5.8, 1.2022e-05
6.0, 1.2345e-05
6.2, 1.2674e-05
6.4, 1.3e-05
6.6, 1.3323e-05
6.8, 1.3628e-05
7.0, 1.3933e-05
7.2, 1.4237e-05
7.4, 1.4542e-05
7.6, 1.4839e-05
7.8, 1.5136e-05
8.0, 1.5439e-05
8.2, 1.573e-05
8.4, 1.6025e-05
8.6, 1.6303e-05
8.8, 1.6579e-05
9.0, 1.687e-05
9.2, 1.7127e-05
9.4, 1.7396e-05
9.6, 1.7674e-05
9.8, 1.7944e-05
10.0, 1.8206e-05
