VF, IF
-10.0, -5.5437e-07
-9.8, -5.4798e-07
-9.6, -5.258e-07
-9.4, -5.0681e-07
-9.2, -4.9343e-07
-9.0, -4.7938e-07
-8.8, -4.7164e-07
-8.6, -4.5545e-07
-8.4, -4.4529e-07
-8.2, -4.3364e-07
-8.0, -4.2029e-07
-7.8, -4.0927e-07
-7.6, -3.9907e-07
-7.4, -3.9048e-07
-7.2, -3.7792e-07
-7.0, -3.6888e-07
-6.8, -3.5998e-07
-6.6, -3.469e-07
-6.4, -3.3666e-07
-6.2, -3.2659e-07
-6.0, -3.1727e-07
-5.8, -3.0531e-07
-5.6, -2.9629e-07
-5.4, -2.8717e-07
-5.2, -2.7451e-07
-5.0, -2.6412e-07
-4.8, -2.5299e-07
-4.6, -2.4172e-07
-4.4, -2.3067e-07
-4.2, -2.1868e-07
-4.0, -2.0872e-07
-3.8, -1.9711e-07
-3.6, -1.8576e-07
-3.4, -1.7445e-07
-3.2, -1.6464e-07
-3.0, -1.5345e-07
-2.8, -1.4168e-07
-2.6, -1.3035e-07
-2.4, -1.1998e-07
-2.2, -1.0888e-07
-2.0, -9.79e-08
-1.8, -8.7555e-08
-1.6, -7.6897e-08
-1.4, -6.7405e-08
-1.2, -5.7116e-08
-1.0, -4.6992e-08
-0.8, -3.7975e-08
-0.6, -2.7641e-08
-0.4, -1.8343e-08
-0.2, -9.0179e-09
0.0, 4.623e-11
0.2, 8.9318e-09
0.4, 1.8079e-08
0.6, 2.8213e-08
0.8, 3.8367e-08
1.0, 4.8836e-08
1.2, 5.9344e-08
1.4, 7.066e-08
1.6, 8.1869e-08
1.8, 9.2962e-08
2.0, 1.0536e-07
2.2, 1.1706e-07
2.4, 1.2951e-07
2.6, 1.4102e-07
2.8, 1.5322e-07
3.0, 1.6799e-07
3.2, 1.8066e-07
3.4, 1.9318e-07
3.6, 2.0693e-07
3.8, 2.221e-07
4.0, 2.3639e-07
4.2, 2.5162e-07
4.4, 2.6367e-07
4.6, 2.7948e-07
4.8, 2.9274e-07
5.0, 3.0808e-07
5.2, 3.2521e-07
5.4, 3.3898e-07
5.6, 3.5383e-07
5.8, 3.6888e-07
6.0, 3.85e-07
6.2, 4.0328e-07
6.4, 4.187e-07
6.6, 4.3869e-07
6.8, 4.5564e-07
7.0, 4.7026e-07
7.2, 4.8617e-07
7.4, 5.0374e-07
7.6, 5.1597e-07
7.8, 5.376e-07
8.0, 5.5532e-07
8.2, 5.7137e-07
8.4, 5.8742e-07
8.6, 6.0717e-07
8.8, 6.2523e-07
9.0, 6.3947e-07
9.2, 6.6182e-07
9.4, 6.7983e-07
9.6, 7.0056e-07
9.8, 7.1527e-07
10.0, 7.329e-07
