VF, IF
-10.0, -2.1638e-06
-9.8, -2.1552e-06
-9.6, -2.1463e-06
-9.4, -2.1368e-06
-9.2, -2.1075e-06
-9.0, -2.089e-06
-8.8, -2.0674e-06
-8.6, -2.0408e-06
-8.4, -2.0143e-06
-8.2, -1.9785e-06
-8.0, -1.9461e-06
-7.8, -1.9232e-06
-7.6, -1.8887e-06
-7.4, -1.8527e-06
-7.2, -1.8184e-06
-7.0, -1.783e-06
-6.8, -1.7479e-06
-6.6, -1.7103e-06
-6.4, -1.6687e-06
-6.2, -1.6306e-06
-6.0, -1.5906e-06
-5.8, -1.5511e-06
-5.6, -1.5086e-06
-5.4, -1.4624e-06
-5.2, -1.418e-06
-5.0, -1.3725e-06
-4.8, -1.3257e-06
-4.6, -1.2808e-06
-4.4, -1.2357e-06
-4.2, -1.1855e-06
-4.0, -1.1378e-06
-3.8, -1.0873e-06
-3.6, -1.0371e-06
-3.4, -9.8681e-07
-3.2, -9.3428e-07
-3.0, -8.84e-07
-2.8, -8.2792e-07
-2.6, -7.7563e-07
-2.4, -7.2028e-07
-2.2, -6.6523e-07
-2.0, -6.077e-07
-1.8, -5.5263e-07
-1.6, -4.9342e-07
-1.4, -4.3507e-07
-1.2, -3.7421e-07
-1.0, -3.1448e-07
-0.8, -2.5394e-07
-0.6, -1.9184e-07
-0.4, -1.2844e-07
-0.2, -6.4829e-08
0.0, 2.234e-11
0.2, 6.5797e-08
0.4, 1.3273e-07
0.6, 2.0087e-07
0.8, 2.7088e-07
1.0, 3.408e-07
1.2, 4.1358e-07
1.4, 4.8645e-07
1.6, 5.6084e-07
1.8, 6.3679e-07
2.0, 7.1337e-07
2.2, 7.9163e-07
2.4, 8.7042e-07
2.6, 9.5093e-07
2.8, 1.0334e-06
3.0, 1.1164e-06
3.2, 1.1975e-06
3.4, 1.2813e-06
3.6, 1.3675e-06
3.8, 1.4535e-06
4.0, 1.5408e-06
4.2, 1.6301e-06
4.4, 1.7206e-06
4.6, 1.8094e-06
4.8, 1.905e-06
5.0, 1.9975e-06
5.2, 2.0899e-06
5.4, 2.183e-06
5.6, 2.2762e-06
5.8, 2.3745e-06
6.0, 2.4668e-06
6.2, 2.5682e-06
6.4, 2.6658e-06
6.6, 2.7641e-06
6.8, 2.8628e-06
7.0, 2.9601e-06
7.2, 3.0591e-06
7.4, 3.1626e-06
7.6, 3.2633e-06
7.8, 3.3609e-06
8.0, 3.4644e-06
8.2, 3.5729e-06
8.4, 3.6758e-06
8.6, 3.7813e-06
8.8, 3.8783e-06
9.0, 3.9874e-06
9.2, 4.0924e-06
9.4, 4.1977e-06
9.6, 4.3061e-06
9.8, 4.4098e-06
10.0, 4.5142e-06
