VF, IF
-10.0, -2.6247e-09
-9.8, -2.4973e-09
-9.6, -2.416e-09
-9.4, -2.3553e-09
-9.2, -2.2935e-09
-9.0, -2.2398e-09
-8.8, -2.2033e-09
-8.6, -2.1779e-09
-8.4, -2.1627e-09
-8.2, -2.1509e-09
-8.0, -2.1449e-09
-7.8, -2.1295e-09
-7.6, -2.1042e-09
-7.4, -2.0744e-09
-7.2, -2.0491e-09
-7.0, -2.0298e-09
-6.8, -2.0028e-09
-6.6, -1.9628e-09
-6.4, -1.9186e-09
-6.2, -1.8623e-09
-6.0, -1.7954e-09
-5.8, -1.7407e-09
-5.6, -1.6746e-09
-5.4, -1.6015e-09
-5.2, -1.5326e-09
-5.0, -1.4599e-09
-4.8, -1.3922e-09
-4.6, -1.3248e-09
-4.4, -1.2428e-09
-4.2, -1.166e-09
-4.0, -1.0942e-09
-3.8, -1.016e-09
-3.6, -9.4939e-10
-3.4, -8.6355e-10
-3.2, -7.8079e-10
-3.0, -7.0215e-10
-2.8, -6.3147e-10
-2.6, -5.6878e-10
-2.4, -5.1446e-10
-2.2, -4.6551e-10
-2.0, -4.1925e-10
-1.8, -3.7432e-10
-1.6, -3.3059e-10
-1.4, -2.8779e-10
-1.2, -2.4565e-10
-1.0, -2.0388e-10
-0.8, -1.6187e-10
-0.6, -1.2042e-10
-0.4, -7.898e-11
-0.2, -3.789e-11
0.0, 3.66e-12
0.2, 4.54e-11
0.4, 8.918e-11
0.6, 1.4308e-10
0.8, 2.2566e-10
1.0, 3.0986e-10
1.2, 3.4671e-10
1.4, 3.8654e-10
1.6, 4.2702e-10
1.8, 4.6642e-10
2.0, 5.0894e-10
2.2, 5.5952e-10
2.4, 6.2439e-10
2.6, 7.2768e-10
2.8, 8.71e-10
3.0, 1.0024e-09
3.2, 1.0902e-09
3.4, 1.1389e-09
3.6, 1.2074e-09
3.8, 1.2774e-09
4.0, 1.3527e-09
4.2, 1.4225e-09
4.4, 1.5009e-09
4.6, 1.579e-09
4.8, 1.658e-09
5.0, 1.7875e-09
5.2, 1.8955e-09
5.4, 1.9451e-09
5.6, 1.9989e-09
5.8, 2.074e-09
6.0, 2.1343e-09
6.2, 2.1954e-09
6.4, 2.2523e-09
6.6, 2.3087e-09
6.8, 2.382e-09
7.0, 2.44e-09
7.2, 2.4971e-09
7.4, 2.5811e-09
7.6, 2.6356e-09
7.8, 2.7092e-09
8.0, 2.8095e-09
8.2, 2.8899e-09
8.4, 2.9709e-09
8.6, 3.0722e-09
8.8, 3.1277e-09
9.0, 3.2141e-09
9.2, 3.286e-09
9.4, 3.3789e-09
9.6, 3.449e-09
9.8, 3.5338e-09
10.0, 3.6079e-09
