, IF
0.0, -2.5309e-09
.8, -2.3671e-09
.6, -2.2595e-09
.4, -2.1738e-09
.2, -2.0988e-09
.0, -2.0295e-09
.8, -1.9681e-09
.6, -1.909e-09
.4, -1.8519e-09
.2, -1.7966e-09
.0, -1.742e-09
.8, -1.6892e-09
.6, -1.6374e-09
.4, -1.5866e-09
.2, -1.5359e-09
.0, -1.4858e-09
.8, -1.4368e-09
.6, -1.3892e-09
.4, -1.3398e-09
.2, -1.2911e-09
.0, -1.2434e-09
.8, -1.1954e-09
.6, -1.1481e-09
.4, -1.1011e-09
.2, -1.0547e-09
.0, -1.0088e-09
.8, -9.6524e-10
.6, -9.3122e-10
.4, -8.9508e-10
.2, -8.5281e-10
.0, -8.1834e-10
.8, -7.6803e-10
.6, -7.2595e-10
.4, -6.8415e-10
.2, -6.4154e-10
.0, -5.9939e-10
.8, -5.5784e-10
.6, -5.1435e-10
.4, -4.7214e-10
.2, -4.3151e-10
.0, -3.897e-10
.8, -3.4822e-10
.6, -3.0683e-10
.4, -2.6568e-10
.2, -2.2542e-10
.0, -1.8552e-10
.8, -1.4531e-10
.6, -1.0525e-10
.4, -6.552e-11
.2, -2.607e-11
0, 1.343e-11
2, 5.333e-11
4, 9.349e-11
6, 1.3317e-10
8, 1.717e-10
0, 2.1122e-10
2, 2.544e-10
4, 3.1254e-10
6, 3.5062e-10
8, 3.885e-10
0, 4.2764e-10
2, 4.6615e-10
4, 5.0821e-10
6, 5.5197e-10
8, 5.9524e-10
0, 6.3782e-10
2, 6.8049e-10
4, 7.2405e-10
6, 7.6734e-10
8, 8.1068e-10
0, 8.549e-10
2, 9.0072e-10
4, 9.445e-10
6, 9.9442e-10
8, 1.0395e-09
0, 1.086e-09
2, 1.1305e-09
4, 1.1752e-09
6, 1.2187e-09
8, 1.2622e-09
0, 1.3076e-09
2, 1.3504e-09
4, 1.3951e-09
6, 1.4386e-09
8, 1.4844e-09
0, 1.5268e-09
2, 1.5686e-09
4, 1.6114e-09
6, 1.6527e-09
8, 1.6937e-09
0, 1.7344e-09
2, 1.7751e-09
4, 1.8169e-09
6, 1.857e-09
8, 1.8976e-09
0, 1.9449e-09
2, 1.9921e-09
4, 2.0371e-09
6, 2.082e-09
8, 2.1239e-09
.0, 2.1615e-09
, IF
0.0, -4.3705e-09
.8, -3.6982e-09
.6, -3.2946e-09
.4, -3.1069e-09
.2, -3.0427e-09
.0, -3.0094e-09
.8, -2.9657e-09
.6, -2.8905e-09
.4, -2.8216e-09
.2, -2.7551e-09
.0, -2.688e-09
.8, -2.6296e-09
.6, -2.5762e-09
.4, -2.5219e-09
.2, -2.4804e-09
.0, -2.4315e-09
.8, -2.3838e-09
.6, -2.3398e-09
.4, -2.2916e-09
.2, -2.249e-09
.0, -2.2059e-09
.8, -2.1564e-09
.6, -2.1143e-09
.4, -2.0651e-09
.2, -2.0233e-09
.0, -1.9736e-09
.8, -1.9298e-09
.6, -1.8665e-09
.4, -1.8129e-09
.2, -1.7463e-09
.0, -1.692e-09
.8, -1.6256e-09
.6, -1.5616e-09
.4, -1.4841e-09
.2, -1.4035e-09
.0, -1.298e-09
.8, -1.1531e-09
.6, -9.8373e-10
.4, -8.323e-10
.2, -6.6403e-10
.0, -5.0088e-10
.8, -3.9135e-10
.6, -3.2105e-10
.4, -2.7558e-10
.2, -2.3249e-10
.0, -1.895e-10
.8, -1.4584e-10
.6, -1.0236e-10
.4, -6.046e-11
.2, -1.62e-11
0, 3.428e-11
2, 8.776e-11
4, 1.5104e-10
6, 2.441e-10
8, 4.1349e-10
0, 6.2213e-10
2, 5.3635e-10
4, 4.8314e-10
6, 4.8895e-10
8, 5.1277e-10
0, 5.5948e-10
2, 7.0375e-10
4, 9.5355e-10
6, 1.1388e-09
8, 1.2739e-09
0, 1.5448e-09
2, 1.7439e-09
4, 1.7962e-09
6, 1.8655e-09
8, 1.9404e-09
0, 2.0045e-09
2, 2.0674e-09
4, 2.1434e-09
6, 2.2493e-09
8, 2.3627e-09
0, 2.4427e-09
2, 2.5125e-09
4, 2.5718e-09
6, 2.6527e-09
8, 2.7232e-09
0, 2.8094e-09
2, 2.8915e-09
4, 2.9702e-09
6, 3.0439e-09
8, 3.1169e-09
0, 3.1739e-09
2, 3.228e-09
4, 3.3017e-09
6, 3.3868e-09
8, 3.4609e-09
0, 3.5455e-09
2, 3.6282e-09
4, 3.6641e-09
6, 3.7504e-09
8, 3.8508e-09
0, 3.9358e-09
2, 3.996e-09
4, 4.1112e-09
6, 4.1684e-09
8, 4.2819e-09
.0, 4.3463e-09
