VF, IF
-10.0, -2.8882e-09
-9.8, -2.7351e-09
-9.6, -2.6296e-09
-9.4, -2.5432e-09
-9.2, -2.4656e-09
-9.0, -2.3929e-09
-8.8, -2.3232e-09
-8.6, -2.2482e-09
-8.4, -2.1576e-09
-8.2, -2.0585e-09
-8.0, -1.9669e-09
-7.8, -1.89e-09
-7.6, -1.8279e-09
-7.4, -1.7737e-09
-7.2, -1.7227e-09
-7.0, -1.6697e-09
-6.8, -1.6081e-09
-6.6, -1.5472e-09
-6.4, -1.4872e-09
-6.2, -1.4264e-09
-6.0, -1.3657e-09
-5.8, -1.308e-09
-5.6, -1.2527e-09
-5.4, -1.1992e-09
-5.2, -1.1481e-09
-5.0, -1.0993e-09
-4.8, -1.0524e-09
-4.6, -1.0045e-09
-4.4, -9.5835e-10
-4.2, -9.1783e-10
-4.0, -8.7197e-10
-3.8, -8.2029e-10
-3.6, -7.7157e-10
-3.4, -7.2545e-10
-3.2, -6.8033e-10
-3.0, -6.3682e-10
-2.8, -5.9442e-10
-2.6, -5.5268e-10
-2.4, -5.1042e-10
-2.2, -4.6788e-10
-2.0, -4.2492e-10
-1.8, -3.83e-10
-1.6, -3.4094e-10
-1.4, -2.9886e-10
-1.2, -2.5681e-10
-1.0, -2.153e-10
-0.8, -1.7349e-10
-0.6, -1.3205e-10
-0.4, -9.037e-11
-0.2, -4.93e-11
0.0, -8.32e-12
0.2, 3.248e-11
0.4, 7.337e-11
0.6, 1.1432e-10
0.8, 1.5569e-10
1.0, 1.9649e-10
1.2, 2.3707e-10
1.4, 2.7784e-10
1.6, 3.1822e-10
1.8, 3.5893e-10
2.0, 3.9956e-10
2.2, 4.3974e-10
2.4, 4.8025e-10
2.6, 5.2057e-10
2.8, 5.6254e-10
3.0, 6.0343e-10
3.2, 6.4486e-10
3.4, 6.8572e-10
3.6, 7.2688e-10
3.8, 7.6731e-10
4.0, 8.0811e-10
4.2, 8.4933e-10
4.4, 8.895e-10
4.6, 9.3277e-10
4.8, 9.7484e-10
5.0, 1.0172e-09
5.2, 1.0578e-09
5.4, 1.1001e-09
5.6, 1.1416e-09
5.8, 1.1836e-09
6.0, 1.2265e-09
6.2, 1.2664e-09
6.4, 1.3084e-09
6.6, 1.3496e-09
6.8, 1.3902e-09
7.0, 1.4295e-09
7.2, 1.4681e-09
7.4, 1.5075e-09
7.6, 1.5486e-09
7.8, 1.5886e-09
8.0, 1.6275e-09
8.2, 1.6668e-09
8.4, 1.7067e-09
8.6, 1.7478e-09
8.8, 1.7868e-09
9.0, 1.8255e-09
9.2, 1.8655e-09
9.4, 1.9058e-09
9.6, 1.9462e-09
9.8, 1.9865e-09
10.0, 2.0283e-09
