VG, VDS, ID, IG
-10.0, 0.1, 4.752e-07, -1.2959e-08
-9.8, 0.1, 4.6919e-07, -9.734e-09
-9.6, 0.1, 4.66e-07, -8.2228e-09
-9.4, 0.1, 4.6295e-07, -7.2762e-09
-9.2, 0.1, 4.6078e-07, -6.5366e-09
-9.0, 0.1, 4.5912e-07, -6.0178e-09
-8.8, 0.1, 4.5777e-07, -5.484e-09
-8.6, 0.1, 4.5599e-07, -5.0832e-09
-8.4, 0.1, 4.5423e-07, -4.8447e-09
-8.2, 0.1, 4.5297e-07, -4.475e-09
-8.0, 0.1, 4.5038e-07, -4.0064e-09
-7.8, 0.1, 4.487e-07, -3.907e-09
-7.6, 0.1, 4.4727e-07, -3.7394e-09
-7.4, 0.1, 4.4571e-07, -3.3439e-09
-7.2, 0.1, 4.4319e-07, -3.1522e-09
-7.0, 0.1, 4.4139e-07, -2.9289e-09
-6.8, 0.1, 4.3885e-07, -2.8947e-09
-6.6, 0.1, 4.3813e-07, -2.8894e-09
-6.4, 0.1, 4.3672e-07, -2.7629e-09
-6.2, 0.1, 4.349e-07, -2.6174e-09
-6.0, 0.1, 4.3325e-07, -2.4811e-09
-5.8, 0.1, 4.3094e-07, -2.3516e-09
-5.6, 0.1, 4.2955e-07, -2.2229e-09
-5.4, 0.1, 4.2759e-07, -2.0919e-09
-5.2, 0.1, 4.2538e-07, -1.9071e-09
-5.0, 0.1, 4.2313e-07, -1.6856e-09
-4.8, 0.1, 4.2141e-07, -1.6653e-09
-4.6, 0.1, 4.1896e-07, -1.4817e-09
-4.4, 0.1, 4.1675e-07, -1.3097e-09
-4.2, 0.1, 4.1483e-07, -1.3016e-09
-4.0, 0.1, 4.1309e-07, -1.1452e-09
-3.8, 0.1, 4.1057e-07, -9.6176e-10
-3.6, 0.1, 4.0806e-07, -9.542e-10
-3.4, 0.1, 4.0616e-07, -8.7533e-10
-3.2, 0.1, 4.0419e-07, -7.8681e-10
-3.0, 0.1, 4.0202e-07, -6.8932e-10
-2.8, 0.1, 3.991e-07, -5.9311e-10
-2.6, 0.1, 3.9715e-07, -5.0582e-10
-2.4, 0.1, 3.9496e-07, -4.4171e-10
-2.2, 0.1, 3.928e-07, -3.3949e-10
-2.0, 0.1, 3.9037e-07, -2.4085e-10
-1.8, 0.1, 3.8801e-07, -9.4e-11
-1.6, 0.1, 3.8531e-07, 8.407e-11
-1.4, 0.1, 3.8364e-07, 9.331e-11
-1.2, 0.1, 3.8114e-07, 1.4335e-10
-1.0, 0.1, 3.7881e-07, 1.964e-10
-0.8, 0.1, 3.7623e-07, 3.2974e-10
-0.6, 0.1, 3.7387e-07, 4.1727e-10
-0.4, 0.1, 3.7128e-07, 5.1125e-10
-0.2, 0.1, 3.6925e-07, 6.0055e-10
0.0, 0.1, 3.6674e-07, 6.9737e-10
0.2, 0.1, 3.6471e-07, 7.8962e-10
0.4, 0.1, 3.6185e-07, 8.8181e-10
0.6, 0.1, 3.5865e-07, 9.7039e-10
0.8, 0.1, 3.5681e-07, 1.0632e-09
1.0, 0.1, 3.5224e-07, 1.1494e-09
1.2, 0.1, 3.5202e-07, 1.2405e-09
1.4, 0.1, 3.4946e-07, 1.3259e-09
1.6, 0.1, 3.4443e-07, 1.419e-09
1.8, 0.1, 3.4441e-07, 1.5028e-09
2.0, 0.1, 3.424e-07, 1.5965e-09
2.2, 0.1, 3.408e-07, 1.6813e-09
2.4, 0.1, 3.3873e-07, 1.8119e-09
2.6, 0.1, 3.3704e-07, 1.998e-09
2.8, 0.1, 3.3311e-07, 1.9886e-09
3.0, 0.1, 3.3313e-07, 2.0614e-09
3.2, 0.1, 3.295e-07, 2.1427e-09
3.4, 0.1, 3.2888e-07, 2.2286e-09
3.6, 0.1, 3.2553e-07, 2.3046e-09
3.8, 0.1, 3.2501e-07, 2.4274e-09
4.0, 0.1, 3.2026e-07, 2.6326e-09
4.2, 0.1, 3.1889e-07, 2.6207e-09
4.4, 0.1, 3.1787e-07, 2.7611e-09
4.6, 0.1, 3.1451e-07, 2.9297e-09
4.8, 0.1, 3.1476e-07, 2.9119e-09
5.0, 0.1, 3.135e-07, 2.9782e-09
5.2, 0.1, 3.1125e-07, 3.0533e-09
5.4, 0.1, 3.0846e-07, 3.1885e-09
5.6, 0.1, 3.0688e-07, 3.3762e-09
5.8, 0.1, 3.045e-07, 3.3614e-09
6.0, 0.1, 3.0342e-07, 3.4369e-09
6.2, 0.1, 3.0136e-07, 3.5211e-09
6.4, 0.1, 2.9906e-07, 3.5996e-09
6.6, 0.1, 2.9648e-07, 3.6897e-09
6.8, 0.1, 2.9615e-07, 3.8193e-09
7.0, 0.1, 2.936e-07, 4.1557e-09
7.2, 0.1, 2.9042e-07, 4.1989e-09
7.4, 0.1, 2.8996e-07, 4.2358e-09
7.6, 0.1, 2.8966e-07, 4.5024e-09
7.8, 0.1, 2.8605e-07, 4.7048e-09
8.0, 0.1, 2.8437e-07, 4.6818e-09
8.2, 0.1, 2.8254e-07, 4.5654e-09
8.4, 0.1, 2.8152e-07, 4.5819e-09
8.6, 0.1, 2.7963e-07, 4.6428e-09
8.8, 0.1, 2.7796e-07, 4.7713e-09
9.0, 0.1, 2.772e-07, 5.0775e-09
9.2, 0.1, 2.75e-07, 5.2901e-09
9.4, 0.1, 2.7219e-07, 5.3573e-09
9.6, 0.1, 2.7119e-07, 5.5653e-09
9.8, 0.1, 2.6992e-07, 5.6725e-09
10.0, 0.1, 2.6713e-07, 5.7788e-09
10.0, 0.1, 2.6898e-07, 5.3675e-09
9.8, 0.1, 2.7462e-07, 4.8604e-09
9.6, 0.1, 2.7766e-07, 4.439e-09
9.4, 0.1, 2.8209e-07, 4.171e-09
9.2, 0.1, 2.8579e-07, 3.9996e-09
9.0, 0.1, 2.8742e-07, 3.8768e-09
8.8, 0.1, 2.9072e-07, 3.6392e-09
8.6, 0.1, 2.9347e-07, 3.6167e-09
8.4, 0.1, 2.9717e-07, 3.4197e-09
8.2, 0.1, 2.9992e-07, 3.3588e-09
8.0, 0.1, 3.0261e-07, 2.9754e-09
7.8, 0.1, 3.0535e-07, 2.9554e-09
7.6, 0.1, 3.0704e-07, 2.9397e-09
7.4, 0.1, 3.0993e-07, 2.735e-09
7.2, 0.1, 3.1231e-07, 2.7282e-09
7.0, 0.1, 3.1159e-07, 2.5868e-09
6.8, 0.1, 3.1522e-07, 2.398e-09
6.6, 0.1, 3.2072e-07, 2.3885e-09
6.4, 0.1, 3.2257e-07, 2.306e-09
6.2, 0.1, 3.2514e-07, 2.2066e-09
6.0, 0.1, 3.2399e-07, 2.1094e-09
5.8, 0.1, 3.2583e-07, 2.0068e-09
5.6, 0.1, 3.3046e-07, 1.9004e-09
