VF, IF
-10.0, -8.3622e-05
-9.8, -8.2029e-05
-9.6, -8.0452e-05
-9.4, -7.8844e-05
-9.2, -7.7207e-05
-9.0, -7.5576e-05
-8.8, -7.3922e-05
-8.6, -7.2262e-05
-8.4, -7.0618e-05
-8.2, -6.8953e-05
-8.0, -6.7318e-05
-7.8, -6.5681e-05
-7.6, -6.4034e-05
-7.4, -6.2373e-05
-7.2, -6.0704e-05
-7.0, -5.9026e-05
-6.8, -5.7349e-05
-6.6, -5.5671e-05
-6.4, -5.4005e-05
-6.2, -5.2318e-05
-6.0, -5.0639e-05
-5.8, -4.8956e-05
-5.6, -4.7273e-05
-5.4, -4.5604e-05
-5.2, -4.3923e-05
-5.0, -4.2233e-05
-4.8, -4.056e-05
-4.6, -3.8891e-05
-4.4, -3.7221e-05
-4.2, -3.5546e-05
-4.0, -3.3868e-05
-3.8, -3.2205e-05
-3.6, -3.0523e-05
-3.4, -2.8854e-05
-3.2, -2.7179e-05
-3.0, -2.5502e-05
-2.8, -2.3809e-05
-2.6, -2.2135e-05
-2.4, -2.0444e-05
-2.2, -1.8758e-05
-2.0, -1.7062e-05
-1.8, -1.5371e-05
-1.6, -1.3677e-05
-1.4, -1.1979e-05
-1.2, -1.0278e-05
-1.0, -8.5792e-06
-0.8, -6.8699e-06
-0.6, -5.1554e-06
-0.4, -3.4391e-06
-0.2, -1.7252e-06
0.0, -2.0034e-10
0.2, 1.7225e-06
0.4, 3.4569e-06
0.6, 5.1968e-06
0.8, 6.9404e-06
1.0, 8.6838e-06
1.2, 1.044e-05
1.4, 1.2202e-05
1.6, 1.3965e-05
1.8, 1.5726e-05
2.0, 1.7509e-05
2.2, 1.9286e-05
2.4, 2.108e-05
2.6, 2.2865e-05
2.8, 2.4671e-05
3.0, 2.6484e-05
3.2, 2.8306e-05
3.4, 3.0113e-05
3.6, 3.1943e-05
3.8, 3.3775e-05
4.0, 3.5623e-05
4.2, 3.7469e-05
4.4, 3.9329e-05
4.6, 4.1183e-05
4.8, 4.3054e-05
5.0, 4.4933e-05
5.2, 4.6806e-05
5.4, 4.8694e-05
5.6, 5.0602e-05
5.8, 5.2504e-05
6.0, 5.4416e-05
6.2, 5.6333e-05
6.4, 5.8243e-05
6.6, 6.0164e-05
6.8, 6.2107e-05
7.0, 6.4065e-05
7.2, 6.6034e-05
7.4, 6.7977e-05
7.6, 6.9925e-05
7.8, 7.189e-05
8.0, 7.3861e-05
8.2, 7.5837e-05
8.4, 7.7835e-05
8.6, 7.9856e-05
8.8, 8.1863e-05
9.0, 8.3858e-05
9.2, 8.5881e-05
9.4, 8.7904e-05
9.6, 8.9935e-05
9.8, 9.1963e-05
10.0, 9.4007e-05
