VF, IF
-10.0, -4.5845e-05
-9.8, -4.5118e-05
-9.6, -4.4336e-05
-9.4, -4.3523e-05
-9.2, -4.2663e-05
-9.0, -4.1823e-05
-8.8, -4.0991e-05
-8.6, -4.0116e-05
-8.4, -3.9231e-05
-8.2, -3.8339e-05
-8.0, -3.7457e-05
-7.8, -3.6557e-05
-7.6, -3.5658e-05
-7.4, -3.474e-05
-7.2, -3.3832e-05
-7.0, -3.288e-05
-6.8, -3.1976e-05
-6.6, -3.1084e-05
-6.4, -3.0173e-05
-6.2, -2.927e-05
-6.0, -2.8356e-05
-5.8, -2.7434e-05
-5.6, -2.6507e-05
-5.4, -2.5586e-05
-5.2, -2.4646e-05
-5.0, -2.3708e-05
-4.8, -2.2784e-05
-4.6, -2.186e-05
-4.4, -2.0924e-05
-4.2, -1.9974e-05
-4.0, -1.9041e-05
-3.8, -1.8092e-05
-3.6, -1.7155e-05
-3.4, -1.6211e-05
-3.2, -1.5268e-05
-3.0, -1.4317e-05
-2.8, -1.3371e-05
-2.6, -1.2429e-05
-2.4, -1.1481e-05
-2.2, -1.0528e-05
-2.0, -9.577e-06
-1.8, -8.6255e-06
-1.6, -7.6725e-06
-1.4, -6.7168e-06
-1.2, -5.7604e-06
-1.0, -4.8076e-06
-0.8, -3.8481e-06
-0.6, -2.8857e-06
-0.4, -1.9234e-06
-0.2, -9.6422e-07
0.0, -1.338e-10
0.2, 9.6584e-07
0.4, 1.9365e-06
0.6, 2.8944e-06
0.8, 3.8603e-06
1.0, 4.8419e-06
1.2, 5.8303e-06
1.4, 6.8138e-06
1.6, 7.82e-06
1.8, 8.821e-06
2.0, 9.8294e-06
2.2, 1.0842e-05
2.4, 1.1852e-05
2.6, 1.2875e-05
2.8, 1.3885e-05
3.0, 1.4925e-05
3.2, 1.5945e-05
3.4, 1.7002e-05
3.6, 1.8022e-05
3.8, 1.9081e-05
4.0, 2.0112e-05
4.2, 2.113e-05
4.4, 2.222e-05
4.6, 2.3294e-05
4.8, 2.436e-05
5.0, 2.5455e-05
5.2, 2.6567e-05
5.4, 2.7661e-05
5.6, 2.877e-05
5.8, 2.9855e-05
6.0, 3.0941e-05
6.2, 3.2018e-05
6.4, 3.3111e-05
6.6, 3.4232e-05
6.8, 3.5354e-05
7.0, 3.6486e-05
7.2, 3.7657e-05
7.4, 3.8847e-05
7.6, 3.9968e-05
7.8, 4.1225e-05
8.0, 4.2438e-05
8.2, 4.3694e-05
8.4, 4.484e-05
8.6, 4.6041e-05
8.8, 4.7215e-05
9.0, 4.8458e-05
9.2, 4.9637e-05
9.4, 5.0816e-05
9.6, 5.2006e-05
9.8, 5.3177e-05
10.0, 5.4331e-05
