VF, IF
-10.0, -2.4069e-05
-9.8, -2.3372e-05
-9.6, -2.2753e-05
-9.4, -2.2146e-05
-9.2, -2.1548e-05
-9.0, -2.0976e-05
-8.8, -2.0412e-05
-8.6, -1.9838e-05
-8.4, -1.929e-05
-8.2, -1.874e-05
-8.0, -1.82e-05
-7.8, -1.7673e-05
-7.6, -1.7145e-05
-7.4, -1.6617e-05
-7.2, -1.6093e-05
-7.0, -1.5574e-05
-6.8, -1.5068e-05
-6.6, -1.4553e-05
-6.4, -1.4051e-05
-6.2, -1.3546e-05
-6.0, -1.305e-05
-5.8, -1.2555e-05
-5.6, -1.2065e-05
-5.4, -1.1568e-05
-5.2, -1.109e-05
-5.0, -1.0607e-05
-4.8, -1.0132e-05
-4.6, -9.6587e-06
-4.4, -9.1926e-06
-4.2, -8.7273e-06
-4.0, -8.2687e-06
-3.8, -7.8089e-06
-3.6, -7.3582e-06
-3.4, -6.909e-06
-3.2, -6.4641e-06
-3.0, -6.0268e-06
-2.8, -5.5877e-06
-2.6, -5.1585e-06
-2.4, -4.7335e-06
-2.2, -4.3127e-06
-2.0, -3.8946e-06
-1.8, -3.4823e-06
-1.6, -3.0753e-06
-1.4, -2.6721e-06
-1.2, -2.2747e-06
-1.0, -1.8833e-06
-0.8, -1.4958e-06
-0.6, -1.1138e-06
-0.4, -7.377e-07
-0.2, -3.6643e-07
0.0, 3.236e-11
0.2, 3.6262e-07
0.4, 7.2263e-07
0.6, 1.0779e-06
0.8, 1.4287e-06
1.0, 1.7743e-06
1.2, 2.1169e-06
1.4, 2.455e-06
1.6, 2.7874e-06
1.8, 3.1143e-06
2.0, 3.439e-06
2.2, 3.7614e-06
2.4, 4.0812e-06
2.6, 4.3927e-06
2.8, 4.7011e-06
3.0, 5.0052e-06
3.2, 5.3083e-06
3.4, 5.6051e-06
3.6, 5.8973e-06
3.8, 6.1866e-06
4.0, 6.4726e-06
4.2, 6.7504e-06
4.4, 7.0239e-06
4.6, 7.2918e-06
4.8, 7.5573e-06
5.0, 7.8255e-06
5.2, 8.0842e-06
5.4, 8.3421e-06
5.6, 8.5949e-06
5.8, 8.8384e-06
6.0, 9.0879e-06
6.2, 9.33e-06
6.4, 9.5685e-06
6.6, 9.8003e-06
6.8, 1.0034e-05
7.0, 1.0261e-05
7.2, 1.0492e-05
7.4, 1.0717e-05
7.6, 1.0937e-05
7.8, 1.1147e-05
8.0, 1.1361e-05
8.2, 1.157e-05
8.4, 1.1779e-05
8.6, 1.1983e-05
8.8, 1.2181e-05
9.0, 1.2372e-05
9.2, 1.2567e-05
9.4, 1.2765e-05
9.6, 1.295e-05
9.8, 1.3137e-05
10.0, 1.3326e-05
