VF, IF
-10.0, -0.00018202
-9.8, -0.00017763
-9.6, -0.00017332
-9.4, -0.00016919
-9.2, -0.0001651
-9.0, -0.00016101
-8.8, -0.00015695
-8.6, -0.00015295
-8.4, -0.00014892
-8.2, -0.00014492
-8.0, -0.00014096
-7.8, -0.00013701
-7.6, -0.00013309
-7.4, -0.00012914
-7.2, -0.00012525
-7.0, -0.00012135
-6.8, -0.00011745
-6.6, -0.00011359
-6.4, -0.00010973
-6.2, -0.00010586
-6.0, -0.00010204
-5.8, -9.825e-05
-5.6, -9.4445e-05
-5.4, -9.067e-05
-5.2, -8.6903e-05
-5.0, -8.3163e-05
-4.8, -7.9455e-05
-4.6, -7.5743e-05
-4.4, -7.2062e-05
-4.2, -6.8401e-05
-4.0, -6.4767e-05
-3.8, -6.1157e-05
-3.6, -5.757e-05
-3.4, -5.4013e-05
-3.2, -5.0499e-05
-3.0, -4.7004e-05
-2.8, -4.3536e-05
-2.6, -4.0135e-05
-2.4, -3.6734e-05
-2.2, -3.3386e-05
-2.0, -3.008e-05
-1.8, -2.6824e-05
-1.6, -2.3607e-05
-1.4, -2.0446e-05
-1.2, -1.7331e-05
-1.0, -1.4289e-05
-0.8, -1.1293e-05
-0.6, -8.3663e-06
-0.4, -5.5034e-06
-0.2, -2.7246e-06
0.0, 8.615e-11
0.2, 2.7092e-06
0.4, 5.4732e-06
0.6, 8.2928e-06
0.8, 1.1172e-05
1.0, 1.4089e-05
1.2, 1.7056e-05
1.4, 2.0061e-05
1.6, 2.3102e-05
1.8, 2.6147e-05
2.0, 2.9244e-05
2.2, 3.2374e-05
2.4, 3.5498e-05
2.6, 3.8645e-05
2.8, 4.1802e-05
3.0, 4.4989e-05
3.2, 4.8193e-05
3.4, 5.1383e-05
3.6, 5.4639e-05
3.8, 5.7854e-05
4.0, 6.1054e-05
4.2, 6.4242e-05
4.4, 6.7479e-05
4.6, 7.0716e-05
4.8, 7.3933e-05
5.0, 7.718e-05
5.2, 8.0408e-05
5.4, 8.366e-05
5.6, 8.6914e-05
5.8, 9.0136e-05
6.0, 9.3379e-05
6.2, 9.6635e-05
6.4, 9.9885e-05
6.6, 0.0001031
6.8, 0.00010636
7.0, 0.0001096
7.2, 0.00011285
7.4, 0.00011605
7.6, 0.00011927
7.8, 0.0001225
8.0, 0.00012576
8.2, 0.00012896
8.4, 0.00013217
8.6, 0.00013539
8.8, 0.00013862
9.0, 0.00014182
9.2, 0.00014502
9.4, 0.00014819
9.6, 0.00015135
9.8, 0.00015455
10.0, 0.00015775
