VF, IF
-10.0, -0.00011331
-9.8, -0.00011128
-9.6, -0.0001091
-9.4, -0.00010695
-9.2, -0.00010476
-9.0, -0.00010247
-8.8, -0.00010026
-8.6, -9.8025e-05
-8.4, -9.5785e-05
-8.2, -9.3514e-05
-8.0, -9.1282e-05
-7.8, -8.9057e-05
-7.6, -8.6798e-05
-7.4, -8.449e-05
-7.2, -8.2208e-05
-7.0, -7.9897e-05
-6.8, -7.7612e-05
-6.6, -7.5346e-05
-6.4, -7.304e-05
-6.2, -7.0736e-05
-6.0, -6.8371e-05
-5.8, -6.6003e-05
-5.6, -6.3806e-05
-5.4, -6.1487e-05
-5.2, -5.9227e-05
-5.0, -5.6768e-05
-4.8, -5.4673e-05
-4.6, -5.238e-05
-4.4, -5.0082e-05
-4.2, -4.7784e-05
-4.0, -4.5477e-05
-3.8, -4.3166e-05
-3.6, -4.0876e-05
-3.4, -3.8581e-05
-3.2, -3.6298e-05
-3.0, -3.4016e-05
-2.8, -3.1728e-05
-2.6, -2.9451e-05
-2.4, -2.7164e-05
-2.2, -2.4872e-05
-2.0, -2.26e-05
-1.8, -2.0317e-05
-1.6, -1.8051e-05
-1.4, -1.5777e-05
-1.2, -1.3495e-05
-1.0, -1.1237e-05
-0.8, -8.972e-06
-0.6, -6.7105e-06
-0.4, -4.4639e-06
-0.2, -2.1322e-07
0.0, -5.085e-11
0.2, 2.1128e-06
0.4, 4.2736e-06
0.6, 6.3507e-06
0.8, 8.6189e-06
1.0, 1.0852e-05
1.2, 1.3039e-05
1.4, 1.5257e-05
1.6, 1.7402e-05
1.8, 1.9968e-05
2.0, 2.2564e-05
2.2, 2.4872e-05
2.4, 2.7158e-05
2.6, 2.9387e-05
2.8, 3.1652e-05
3.0, 3.3921e-05
3.2, 3.6034e-05
3.4, 3.8026e-05
3.6, 4.0045e-05
3.8, 4.1768e-05
4.0, 3.8862e-05
4.2, 3.6633e-05
4.4, 4.0664e-05
4.6, 4.338e-05
4.8, 4.3484e-05
5.0, 4.8125e-05
5.2, 5.4955e-05
5.4, 5.7768e-05
5.6, 6.1591e-05
5.8, 6.3954e-05
6.0, 6.646e-05
6.2, 6.9017e-05
6.4, 7.1398e-05
6.6, 7.3299e-05
6.8, 7.5381e-05
7.0, 7.7744e-05
7.2, 8.0069e-05
7.4, 8.2227e-05
7.6, 8.4573e-05
7.8, 8.6873e-05
8.0, 8.9133e-05
8.2, 9.13e-05
8.4, 9.3636e-05
8.6, 9.6011e-05
8.8, 9.8205e-05
9.0, 0.00010035
9.2, 0.00010252
9.4, 0.00010519
9.6, 0.00010729
9.8, 0.0001094
10.0, 0.00011125
