VF, IF
-10.0, -0.00010086
-9.8, -0.00010016
-9.6, -9.8359e-05
-9.4, -9.6062e-05
-9.2, -9.422e-05
-9.0, -9.1729e-05
-8.8, -8.9311e-05
-8.6, -8.7217e-05
-8.4, -8.5223e-05
-8.2, -8.3235e-05
-8.0, -8.1117e-05
-7.8, -7.9068e-05
-7.6, -7.7065e-05
-7.4, -7.4929e-05
-7.2, -7.2716e-05
-7.0, -7.098e-05
-6.8, -6.8603e-05
-6.6, -6.6389e-05
-6.4, -6.4362e-05
-6.2, -6.205e-05
-6.0, -5.9888e-05
-5.8, -5.7853e-05
-5.6, -5.5717e-05
-5.4, -5.3602e-05
-5.2, -5.1597e-05
-5.0, -4.9493e-05
-4.8, -4.7306e-05
-4.6, -4.5205e-05
-4.4, -4.3194e-05
-4.2, -4.1153e-05
-4.0, -3.909e-05
-3.8, -3.6987e-05
-3.6, -3.4899e-05
-3.4, -3.2879e-05
-3.2, -3.0833e-05
-3.0, -2.8849e-05
-2.8, -2.679e-05
-2.6, -2.4768e-05
-2.4, -2.2772e-05
-2.2, -2.0787e-05
-2.0, -1.8795e-05
-1.8, -1.6834e-05
-1.6, -1.4874e-05
-1.4, -1.2897e-05
-1.2, -1.093e-05
-1.0, -9.0193e-06
-0.8, -7.1266e-06
-0.6, -5.2701e-06
-0.4, -3.4613e-06
-0.2, -1.7035e-06
0.0, -8.116e-11
0.2, 1.7117e-06
0.4, 3.4781e-06
0.6, 5.3153e-06
0.8, 7.2151e-06
1.0, 9.184e-06
1.2, 1.1253e-05
1.4, 1.3294e-05
1.6, 1.5257e-05
1.8, 1.714e-05
2.0, 1.9193e-05
2.2, 2.1173e-05
2.4, 2.3238e-05
2.6, 2.522e-05
2.8, 2.7194e-05
3.0, 2.9194e-05
3.2, 3.1202e-05
3.4, 3.3192e-05
3.6, 3.5331e-05
3.8, 3.7483e-05
4.0, 3.9602e-05
4.2, 4.1362e-05
4.4, 4.3353e-05
4.6, 4.5219e-05
4.8, 4.7209e-05
5.0, 4.9079e-05
5.2, 5.1246e-05
5.4, 5.3647e-05
5.6, 5.5669e-05
5.8, 5.8001e-05
6.0, 6.0088e-05
6.2, 6.205e-05
6.4, 6.381e-05
6.6, 6.5741e-05
6.8, 6.8831e-05
7.0, 7.1151e-05
7.2, 7.3867e-05
7.4, 7.5952e-05
7.6, 7.8041e-05
7.8, 7.8216e-05
8.0, 8.0382e-05
8.2, 8.2603e-05
8.4, 8.4092e-05
8.6, 8.7803e-05
8.8, 9.2672e-05
9.0, 9.5401e-05
9.2, 9.8015e-05
9.4, 0.00010084
9.6, 0.00010346
9.8, 0.00010614
10.0, 0.00010831
