, VF, IF
, -10.0, -1.8633e-05
, -9.8, -1.8611e-05
, -9.6, -1.8491e-05
, -9.4, -1.8226e-05
, -9.2, -1.798e-05
, -9.0, -1.7696e-05
, -8.8, -1.7519e-05
, -8.6, -1.7351e-05
, -8.4, -1.7056e-05
, -8.2, -1.687e-05
, -8.0, -1.6408e-05
, -7.8, -1.6072e-05
, -7.6, -1.5991e-05
, -7.4, -1.5707e-05
, -7.2, -1.5413e-05
, -7.0, -1.5069e-05
, -6.8, -1.4796e-05
, -6.6, -1.4423e-05
, -6.4, -1.4027e-05
, -6.2, -1.3626e-05
, -6.0, -1.3352e-05
, -5.8, -1.291e-05
, -5.6, -1.2539e-05
, -5.4, -1.2054e-05
, -5.2, -1.1638e-05
, -5.0, -1.1254e-05
, -4.8, -1.0951e-05
, -4.6, -1.0273e-05
, -4.4, -9.8519e-06
, -4.2, -9.4207e-06
, -4.0, -9.1319e-06
, -3.8, -8.7104e-06
, -3.6, -8.266e-06
, -3.4, -7.922e-06
, -3.2, -7.324e-06
, -3.0, -7.0071e-06
, -2.8, -6.5387e-06
, -2.6, -5.9959e-06
, -2.4, -5.3985e-06
, -2.2, -4.8527e-06
, -2.0, -4.4455e-06
, -1.8, -4.0856e-06
, -1.6, -3.5557e-06
, -1.4, -3.2325e-06
, -1.2, -2.8052e-06
, -1.0, -2.29e-06
, -0.8, -1.8359e-06
, -0.6, -1.3833e-06
, -0.4, -7.4258e-07
, -0.2, -3.6739e-07
, 0.0, 1.4659e-10
, 0.2, 3.4702e-07
, 0.4, 6.5557e-07
, 0.6, 1.1153e-06
, 0.8, 1.4828e-06
, 1.0, 1.7549e-06
, 1.2, 2.1865e-06
, 1.4, 2.5104e-06
, 1.6, 2.721e-06
, 1.8, 3.1165e-06
, 2.0, 4.033e-06
, 2.2, 5.3158e-06
, 2.4, 5.9073e-06
, 2.6, 6.6925e-06
, 2.8, 6.6564e-06
, 3.0, 7.8874e-06
, 3.2, 9.28e-06
, 3.4, 9.8982e-06
, 3.6, 1.0643e-05
, 3.8, 1.1031e-05
, 4.0, 1.1481e-05
, 4.2, 1.238e-05
, 4.4, 1.2965e-05
, 4.6, 1.3792e-05
, 4.8, 1.4371e-05
, 5.0, 1.428e-05
, 5.2, 1.5157e-05
, 5.4, 1.9256e-05
, 5.6, 1.9999e-05
, 5.8, 2.0787e-05
, 6.0, 2.1556e-05
, 6.2, 2.2346e-05
, 6.4, 2.3125e-05
, 6.6, 2.3962e-05
, 6.8, 2.4777e-05
, 7.0, 2.556e-05
, 7.2, 2.6383e-05
, 7.4, 2.7212e-05
, 7.6, 2.8035e-05
, 7.8, 2.8862e-05
, 8.0, 2.9658e-05
, 8.2, 3.0506e-05
, 8.4, 3.1323e-05
, 8.6, 3.2119e-05
, 8.8, 3.298e-05
, 9.0, 3.3819e-05
, 9.2, 3.4687e-05
, 9.4, 3.5538e-05
, 9.6, 3.6349e-05
, 9.8, 3.722e-05
, 10.0, 3.8042e-05
