, VF, IF
, -10.0, -0.00010511
, -9.8, -0.00010295
, -9.6, -0.00010076
, -9.4, -9.8596e-05
, -9.2, -9.6379e-05
, -9.0, -9.4249e-05
, -8.8, -9.2021e-05
, -8.6, -8.984e-05
, -8.4, -8.7631e-05
, -8.2, -8.5428e-05
, -8.0, -8.3267e-05
, -7.8, -8.1114e-05
, -7.6, -7.8931e-05
, -7.4, -7.6748e-05
, -7.2, -7.4576e-05
, -7.0, -7.24e-05
, -6.8, -7.0254e-05
, -6.6, -6.8109e-05
, -6.4, -6.5942e-05
, -6.2, -6.3782e-05
, -6.0, -6.1677e-05
, -5.8, -5.9515e-05
, -5.6, -5.7406e-05
, -5.4, -5.53e-05
, -5.2, -5.3185e-05
, -5.0, -5.1082e-05
, -4.8, -4.8955e-05
, -4.6, -4.6858e-05
, -4.4, -4.4757e-05
, -4.2, -4.2667e-05
, -4.0, -4.0571e-05
, -3.8, -3.8507e-05
, -3.6, -3.6425e-05
, -3.4, -3.4344e-05
, -3.2, -3.2274e-05
, -3.0, -3.0213e-05
, -2.8, -2.8161e-05
, -2.6, -2.6114e-05
, -2.4, -2.4069e-05
, -2.2, -2.2025e-05
, -2.0, -1.9988e-05
, -1.8, -1.797e-05
, -1.6, -1.5945e-05
, -1.4, -1.3925e-05
, -1.2, -1.1912e-05
, -1.0, -9.9179e-06
, -0.8, -7.9226e-06
, -0.6, -5.9359e-06
, -0.4, -3.9524e-06
, -0.2, -1.9778e-06
, 0.0, -1.172e-10
, 0.2, 1.9708e-06
, 0.4, 3.9516e-06
, 0.6, 5.928e-06
, 0.8, 7.9102e-06
, 1.0, 9.8811e-06
, 1.2, 1.1861e-05
, 1.4, 1.3838e-05
, 1.6, 1.5818e-05
, 1.8, 1.7788e-05
, 2.0, 1.976e-05
, 2.2, 2.1739e-05
, 2.4, 2.371e-05
, 2.6, 2.5669e-05
, 2.8, 2.7636e-05
, 3.0, 2.9607e-05
, 3.2, 3.1563e-05
, 3.4, 3.3506e-05
, 3.6, 3.5459e-05
, 3.8, 3.7408e-05
, 4.0, 3.9352e-05
, 4.2, 4.1276e-05
, 4.4, 4.3225e-05
, 4.6, 4.5151e-05
, 4.8, 4.7086e-05
, 5.0, 4.9008e-05
, 5.2, 5.0922e-05
, 5.4, 5.2843e-05
, 5.6, 5.4756e-05
, 5.8, 5.6662e-05
, 6.0, 5.8566e-05
, 6.2, 6.0468e-05
, 6.4, 6.238e-05
, 6.6, 6.4302e-05
, 6.8, 6.6177e-05
, 7.0, 6.8049e-05
, 7.2, 6.9936e-05
, 7.4, 7.179e-05
, 7.6, 7.3646e-05
, 7.8, 7.5528e-05
, 8.0, 7.7383e-05
, 8.2, 7.9239e-05
, 8.4, 8.1079e-05
, 8.6, 8.2966e-05
, 8.8, 8.4795e-05
, 9.0, 8.6622e-05
, 9.2, 8.8465e-05
, 9.4, 9.0292e-05
, 9.6, 9.2126e-05
, 9.8, 9.3934e-05
, 10.0, 9.574e-05
