, VF, IF
, -10.0, -0.00015719
, -9.8, -0.00015372
, -9.6, -0.00015029
, -9.4, -0.00014688
, -9.2, -0.00014345
, -9.0, -0.00014005
, -8.8, -0.00013666
, -8.6, -0.00013326
, -8.4, -0.00012985
, -8.2, -0.00012646
, -8.0, -0.00012304
, -7.8, -0.00011963
, -7.6, -0.00011624
, -7.4, -0.00011284
, -7.2, -0.00010944
, -7.0, -0.00010606
, -6.8, -0.00010268
, -6.6, -9.9279e-05
, -6.4, -9.5919e-05
, -6.2, -9.255e-05
, -6.0, -8.9211e-05
, -5.8, -8.5856e-05
, -5.6, -8.2522e-05
, -5.4, -7.9193e-05
, -5.2, -7.5893e-05
, -5.0, -7.2596e-05
, -4.8, -6.9311e-05
, -4.6, -6.6043e-05
, -4.4, -6.2805e-05
, -4.2, -5.9574e-05
, -4.0, -5.6362e-05
, -3.8, -5.3175e-05
, -3.6, -5.0009e-05
, -3.4, -4.6884e-05
, -3.2, -4.3773e-05
, -3.0, -4.0696e-05
, -2.8, -3.7647e-05
, -2.6, -3.4649e-05
, -2.4, -3.1673e-05
, -2.2, -2.8726e-05
, -2.0, -2.5823e-05
, -1.8, -2.297e-05
, -1.6, -2.0149e-05
, -1.4, -1.7385e-05
, -1.2, -1.4673e-05
, -1.0, -1.2035e-05
, -0.8, -9.4616e-06
, -0.6, -6.9551e-06
, -0.4, -4.5321e-06
, -0.2, -2.218e-06
, 0.0, 1.6938e-09
, 0.2, 2.2681e-06
, 0.4, 4.7586e-06
, 0.6, 7.43e-06
, 0.8, 1.0218e-05
, 1.0, 1.3083e-05
, 1.2, 1.602e-05
, 1.4, 1.9012e-05
, 1.6, 2.2043e-05
, 1.8, 2.5095e-05
, 2.0, 2.8203e-05
, 2.2, 3.1331e-05
, 2.4, 3.4475e-05
, 2.6, 3.7627e-05
, 2.8, 4.0814e-05
, 3.0, 4.4018e-05
, 3.2, 4.7229e-05
, 3.4, 5.0442e-05
, 3.6, 5.3682e-05
, 3.8, 5.6922e-05
, 4.0, 6.0183e-05
, 4.2, 6.3424e-05
, 4.4, 6.6699e-05
, 4.6, 6.9982e-05
, 4.8, 7.3256e-05
, 5.0, 7.653e-05
, 5.2, 7.9817e-05
, 5.4, 8.312e-05
, 5.6, 8.6427e-05
, 5.8, 8.9726e-05
, 6.0, 9.3022e-05
, 6.2, 9.6352e-05
, 6.4, 9.9666e-05
, 6.6, 0.000103
, 6.8, 0.00010632
, 7.0, 0.00010966
, 7.2, 0.00011297
, 7.4, 0.00011629
, 7.6, 0.00011963
, 7.8, 0.00012296
, 8.0, 0.0001263
, 8.2, 0.00012962
, 8.4, 0.00013294
, 8.6, 0.00013628
, 8.8, 0.0001396
, 9.0, 0.00014293
, 9.2, 0.00014628
, 9.4, 0.00014962
, 9.6, 0.00015295
, 9.8, 0.00015632
, 10.0, 0.00015964
