, VF, IF
, -10.0, -9.1417e-06
, -9.8, -8.7471e-06
, -9.6, -8.4251e-06
, -9.4, -8.1338e-06
, -9.2, -7.8419e-06
, -9.0, -7.581e-06
, -8.8, -7.3265e-06
, -8.6, -7.0697e-06
, -8.4, -6.8181e-06
, -8.2, -6.5707e-06
, -8.0, -6.3312e-06
, -7.8, -6.0933e-06
, -7.6, -5.8666e-06
, -7.4, -5.6316e-06
, -7.2, -5.4073e-06
, -7.0, -5.1856e-06
, -6.8, -4.9585e-06
, -6.6, -4.7506e-06
, -6.4, -4.5352e-06
, -6.2, -4.3182e-06
, -6.0, -4.1058e-06
, -5.8, -3.9126e-06
, -5.6, -3.7108e-06
, -5.4, -3.5123e-06
, -5.2, -3.3184e-06
, -5.0, -3.1357e-06
, -4.8, -2.9508e-06
, -4.6, -2.7734e-06
, -4.4, -2.5968e-06
, -4.2, -2.4288e-06
, -4.0, -2.267e-06
, -3.8, -2.1027e-06
, -3.6, -1.9499e-06
, -3.4, -1.7982e-06
, -3.2, -1.6557e-06
, -3.0, -1.5118e-06
, -2.8, -1.3823e-06
, -2.6, -1.251e-06
, -2.4, -1.1268e-06
, -2.2, -1.0085e-06
, -2.0, -8.9362e-07
, -1.8, -7.821e-07
, -1.6, -6.7639e-07
, -1.4, -5.7176e-07
, -1.2, -4.7574e-07
, -1.0, -3.8418e-07
, -0.8, -2.9647e-07
, -0.6, -2.1485e-07
, -0.4, -1.3848e-07
, -0.2, -6.7576e-08
, 0.0, 1.6347e-10
, 0.2, 6.8042e-08
, 0.4, 1.3579e-07
, 0.6, 2.0199e-07
, 0.8, 2.6392e-07
, 1.0, 3.2344e-07
, 1.2, 3.8357e-07
, 1.4, 4.4067e-07
, 1.6, 4.9763e-07
, 1.8, 5.5298e-07
, 2.0, 6.0805e-07
, 2.2, 6.6418e-07
, 2.4, 7.1341e-07
, 2.6, 7.6364e-07
, 2.8, 8.1366e-07
, 3.0, 8.6365e-07
, 3.2, 9.1447e-07
, 3.4, 9.6091e-07
, 3.6, 1.0074e-06
, 3.8, 1.0535e-06
, 4.0, 1.1059e-06
, 4.2, 1.1525e-06
, 4.4, 1.1966e-06
, 4.6, 1.241e-06
, 4.8, 1.2818e-06
, 5.0, 1.327e-06
, 5.2, 1.3676e-06
, 5.4, 1.4109e-06
, 5.6, 1.4506e-06
, 5.8, 1.489e-06
, 6.0, 1.5299e-06
, 6.2, 1.5695e-06
, 6.4, 1.6105e-06
, 6.6, 1.6468e-06
, 6.8, 1.6878e-06
, 7.0, 1.7271e-06
, 7.2, 1.7615e-06
, 7.4, 1.8092e-06
, 7.6, 1.8444e-06
, 7.8, 1.8832e-06
, 8.0, 1.9232e-06
, 8.2, 1.9562e-06
, 8.4, 1.9959e-06
, 8.6, 2.0295e-06
, 8.8, 2.072e-06
, 9.0, 2.1083e-06
, 9.2, 2.1477e-06
, 9.4, 2.1817e-06
, 9.6, 2.2165e-06
, 9.8, 2.257e-06
, 10.0, 2.2831e-06
