, VF, IF
, -10.0, -2.681e-05
, -9.8, -2.6792e-05
, -9.6, -2.6646e-05
, -9.4, -2.6437e-05
, -9.2, -2.6173e-05
, -9.0, -2.5875e-05
, -8.8, -2.5528e-05
, -8.6, -2.5193e-05
, -8.4, -2.4788e-05
, -8.2, -2.4403e-05
, -8.0, -2.3971e-05
, -7.8, -2.3547e-05
, -7.6, -2.3103e-05
, -7.4, -2.2615e-05
, -7.2, -2.213e-05
, -7.0, -2.1637e-05
, -6.8, -2.1136e-05
, -6.6, -2.0626e-05
, -6.4, -2.0091e-05
, -6.2, -1.9554e-05
, -6.0, -1.9009e-05
, -5.8, -1.8462e-05
, -5.6, -1.7898e-05
, -5.4, -1.7315e-05
, -5.2, -1.6731e-05
, -5.0, -1.6143e-05
, -4.8, -1.5533e-05
, -4.6, -1.4932e-05
, -4.4, -1.4326e-05
, -4.2, -1.3701e-05
, -4.0, -1.3079e-05
, -3.8, -1.245e-05
, -3.6, -1.1814e-05
, -3.4, -1.1176e-05
, -3.2, -1.053e-05
, -3.0, -9.8836e-06
, -2.8, -9.2315e-06
, -2.6, -8.5842e-06
, -2.4, -7.929e-06
, -2.2, -7.2681e-06
, -2.0, -6.6067e-06
, -1.8, -5.9516e-06
, -1.6, -5.2882e-06
, -1.4, -4.6273e-06
, -1.2, -3.9664e-06
, -1.0, -3.3049e-06
, -0.8, -2.6424e-06
, -0.6, -1.9812e-06
, -0.4, -1.319e-06
, -0.2, -6.6147e-07
, 0.0, 6.1168e-10
, 0.2, 6.6372e-07
, 0.4, 1.3398e-06
, 0.6, 2.0273e-06
, 0.8, 2.7227e-06
, 1.0, 3.4274e-06
, 1.2, 4.1424e-06
, 1.4, 4.8668e-06
, 1.6, 5.6021e-06
, 1.8, 6.3414e-06
, 2.0, 7.095e-06
, 2.2, 7.855e-06
, 2.4, 8.6228e-06
, 2.6, 9.3873e-06
, 2.8, 1.0157e-05
, 3.0, 1.0934e-05
, 3.2, 1.1727e-05
, 3.4, 1.2518e-05
, 3.6, 1.3317e-05
, 3.8, 1.4116e-05
, 4.0, 1.4926e-05
, 4.2, 1.5743e-05
, 4.4, 1.6562e-05
, 4.6, 1.7378e-05
, 4.8, 1.8219e-05
, 5.0, 1.9036e-05
, 5.2, 1.9876e-05
, 5.4, 2.0719e-05
, 5.6, 2.1561e-05
, 5.8, 2.2396e-05
, 6.0, 2.324e-05
, 6.2, 2.4118e-05
, 6.4, 2.496e-05
, 6.6, 2.5808e-05
, 6.8, 2.667e-05
, 7.0, 2.7521e-05
, 7.2, 2.8393e-05
, 7.4, 2.924e-05
, 7.6, 3.0123e-05
, 7.8, 3.0979e-05
, 8.0, 3.1861e-05
, 8.2, 3.2733e-05
, 8.4, 3.3587e-05
, 8.6, 3.448e-05
, 8.8, 3.5352e-05
, 9.0, 3.6262e-05
, 9.2, 3.713e-05
, 9.4, 3.8033e-05
, 9.6, 3.8921e-05
, 9.8, 3.9824e-05
, 10.0, 4.0728e-05
