, VF, IF
, -10.0, -6.5939e-06
, -9.8, -6.3379e-06
, -9.6, -6.1202e-06
, -9.4, -5.9193e-06
, -9.2, -5.715e-06
, -9.0, -5.5309e-06
, -8.8, -5.3521e-06
, -8.6, -5.1741e-06
, -8.4, -5.0015e-06
, -8.2, -4.8313e-06
, -8.0, -4.6558e-06
, -7.8, -4.4978e-06
, -7.6, -4.3274e-06
, -7.4, -4.169e-06
, -7.2, -4.0068e-06
, -7.0, -3.8471e-06
, -6.8, -3.6874e-06
, -6.6, -3.5278e-06
, -6.4, -3.3745e-06
, -6.2, -3.2212e-06
, -6.0, -3.0731e-06
, -5.8, -2.9234e-06
, -5.6, -2.7797e-06
, -5.4, -2.6323e-06
, -5.2, -2.489e-06
, -5.0, -2.3529e-06
, -4.8, -2.2178e-06
, -4.6, -2.0847e-06
, -4.4, -1.9548e-06
, -4.2, -1.8305e-06
, -4.0, -1.7051e-06
, -3.8, -1.587e-06
, -3.6, -1.4714e-06
, -3.4, -1.3557e-06
, -3.2, -1.2484e-06
, -3.0, -1.1423e-06
, -2.8, -1.0396e-06
, -2.6, -9.434e-07
, -2.4, -8.4792e-07
, -2.2, -7.5699e-07
, -2.0, -6.6909e-07
, -1.8, -5.8629e-07
, -1.6, -5.0762e-07
, -1.4, -4.3155e-07
, -1.2, -3.5918e-07
, -1.0, -2.9107e-07
, -0.8, -2.2544e-07
, -0.6, -1.6415e-07
, -0.4, -1.0597e-07
, -0.2, -5.175e-08
, 0.0, 2.7986e-10
, 0.2, 5.1744e-08
, 0.4, 1.0151e-07
, 0.6, 1.4956e-07
, 0.8, 1.9568e-07
, 1.0, 2.397e-07
, 1.2, 2.822e-07
, 1.4, 3.2298e-07
, 1.6, 3.628e-07
, 1.8, 4.0231e-07
, 2.0, 4.3917e-07
, 2.2, 4.7743e-07
, 2.4, 5.1285e-07
, 2.6, 5.4741e-07
, 2.8, 5.8115e-07
, 3.0, 6.137e-07
, 3.2, 6.4558e-07
, 3.4, 6.7782e-07
, 3.6, 7.0855e-07
, 3.8, 7.3727e-07
, 4.0, 7.6704e-07
, 4.2, 7.9659e-07
, 4.4, 8.243e-07
, 4.6, 8.5196e-07
, 4.8, 8.7953e-07
, 5.0, 9.079e-07
, 5.2, 9.3464e-07
, 5.4, 9.5844e-07
, 5.6, 9.8455e-07
, 5.8, 1.0094e-06
, 6.0, 1.0356e-06
, 6.2, 1.0588e-06
, 6.4, 1.0906e-06
, 6.6, 1.1133e-06
, 6.8, 1.1366e-06
, 7.0, 1.1612e-06
, 7.2, 1.1819e-06
, 7.4, 1.2059e-06
, 7.6, 1.2305e-06
, 7.8, 1.2507e-06
, 8.0, 1.2748e-06
, 8.2, 1.2936e-06
, 8.4, 1.3171e-06
, 8.6, 1.3411e-06
, 8.8, 1.3644e-06
, 9.0, 1.3833e-06
, 9.2, 1.4107e-06
, 9.4, 1.431e-06
, 9.6, 1.4546e-06
, 9.8, 1.4731e-06
, 10.0, 1.4923e-06
