, VF, IF
, -10.0, -0.00039232
, -9.8, -0.00038509
, -9.6, -0.00037758
, -9.4, -0.00036991
, -9.2, -0.00036217
, -9.0, -0.0003544
, -8.8, -0.00034662
, -8.6, -0.00033878
, -8.4, -0.00033088
, -8.2, -0.00032294
, -8.0, -0.00031498
, -7.8, -0.00030701
, -7.6, -0.00029906
, -7.4, -0.00029106
, -7.2, -0.00028298
, -7.0, -0.00027497
, -6.8, -0.00026701
, -6.6, -0.00025892
, -6.4, -0.00025081
, -6.2, -0.00024278
, -6.0, -0.00023471
, -5.8, -0.00022662
, -5.6, -0.00021856
, -5.4, -0.00021046
, -5.2, -0.00020242
, -5.0, -0.00019428
, -4.8, -0.0001862
, -4.6, -0.00017814
, -4.4, -0.00017014
, -4.2, -0.00016207
, -4.0, -0.00015403
, -3.8, -0.00014599
, -3.6, -0.00013797
, -3.4, -0.00013001
, -3.2, -0.00012209
, -3.0, -0.00011412
, -2.8, -0.00010622
, -2.6, -9.8353e-05
, -2.4, -9.0492e-05
, -2.2, -8.2651e-05
, -2.0, -7.4858e-05
, -1.8, -6.716e-05
, -1.6, -5.9421e-05
, -1.4, -5.1779e-05
, -1.2, -4.4136e-05
, -1.0, -3.6616e-05
, -0.8, -2.913e-05
, -0.6, -2.1705e-05
, -0.4, -1.4368e-05
, -0.2, -7.1566e-06
, 0.0, -2.2162e-10
, 0.2, 7.1696e-06
, 0.4, 1.4579e-05
, 0.6, 2.2259e-05
, 0.8, 3.015e-05
, 1.0, 3.8176e-05
, 1.2, 4.6327e-05
, 1.4, 5.456e-05
, 1.6, 6.2828e-05
, 1.8, 7.1177e-05
, 2.0, 7.9601e-05
, 2.2, 8.8049e-05
, 2.4, 9.6517e-05
, 2.6, 0.00010499
, 2.8, 0.00011352
, 3.0, 0.0001221
, 3.2, 0.00013072
, 3.4, 0.0001393
, 3.6, 0.00014795
, 3.8, 0.00015664
, 4.0, 0.00016533
, 4.2, 0.00017402
, 4.4, 0.00018277
, 4.6, 0.00019157
, 4.8, 0.00020036
, 5.0, 0.00020914
, 5.2, 0.00021796
, 5.4, 0.0002268
, 5.6, 0.00023568
, 5.8, 0.00024452
, 6.0, 0.00025344
, 6.2, 0.00026237
, 6.4, 0.00027135
, 6.6, 0.00028025
, 6.8, 0.00028924
, 7.0, 0.00029825
, 7.2, 0.00030724
, 7.4, 0.00031621
, 7.6, 0.00032526
, 7.8, 0.00033431
, 8.0, 0.00034336
, 8.2, 0.00035242
, 8.4, 0.00036153
, 8.6, 0.00037066
, 8.8, 0.00037978
, 9.0, 0.00038888
, 9.2, 0.00039803
, 9.4, 0.00040718
, 9.6, 0.00041635
, 9.8, 0.0004255
, 10.0, 0.0004347
