, VG, VDS, ID, IG
, 1.1, 0.1, -6.3062e-10, 5.6411e-08
, 1.2, 0.1, -6.5399e-10, 1.9191e-07
, 1.3, 0.1, 1.0136e-10, 1.0738e-07
, 1.4, 0.1, -6.9175e-10, 3.43e-07
, 1.5, 0.1, -6.8462e-10, 3.4897e-07
, 1.6, 0.1, -7.0092e-10, 7.3522e-07
, 1.7, 0.1, 9.535e-11, 8.6566e-07
, 1.8, 0.1, -6.4736e-10, 1.0411e-06
, 1.9, 0.1, -6.5137e-10, 1.1177e-06
, 2.0, 0.1, -6.6724e-10, 8.2865e-07
, 2.1, 0.1, -6.5403e-10, 6.0122e-07
, 2.2, 0.1, 3e-12, 6.342e-07
, 2.3, 0.1, 9.1531e-11, 1.7719e-09
, 2.4, 0.1, 1.2767e-10, 6.8195e-10
, 2.5, 0.1, 1.3725e-10, 2.9799e-08
, 2.6, 0.1, 1.1645e-10, 2.753e-10
, 2.7, 0.1, 1.0795e-10, 7.3827e-09
, 2.8, 0.1, 1.1604e-10, 3.14e-10
, 2.9, 0.1, 8.943e-11, 4.758e-09
, 3.0, 0.1, 2.7472e-10, 3.731e-08
, 3.1, 0.1, 1.13e-10, 2.5947e-08
, 3.2, 0.1, 1.5843e-10, 1.3155e-06
, 3.3, 0.1, 1.0226e-10, 9.6323e-07
, 3.4, 0.1, 1.4283e-10, 4.0639e-10
, 3.5, 0.1, 1.1462e-10, 5.095e-10
, 3.6, 0.1, 1.0476e-10, 3.9665e-10
, 3.7, 0.1, 9.979e-11, 2.1812e-09
, 3.8, 0.1, 9.11e-11, 4.3619e-10
, 3.9, 0.1, 9.0821e-11, 5.6703e-10
, 4.0, 0.1, 9.1343e-11, 5.0781e-10
, 4.1, 0.1, 9.259e-11, 5.7843e-10
, 4.2, 0.1, 9.5118e-11, 3.8834e-09
, 4.3, 0.1, 9.131e-11, 8.9206e-09
, 4.4, 0.1, 6.35e-11, 1.8345e-08
, 4.5, 0.1, 8.2704e-11, 7.6819e-09
, 4.6, 0.1, 8.9321e-11, 2.1784e-09
, 4.7, 0.1, 9.745e-11, 4.9594e-10
, 4.8, 0.1, 7.7e-11, 2.4238e-09
, 4.9, 0.1, 7.9103e-11, 4.1634e-08
, 5.0, 0.1, 8.4874e-11, 2.0669e-06
, 5.1, 0.1, 1.0922e-10, 1.2983e-06
