, VF, IF
, -10.0, -2.6785e-05
, -9.8, -2.5887e-05
, -9.6, -2.5069e-05
, -9.4, -2.4297e-05
, -9.2, -2.3569e-05
, -9.0, -2.2858e-05
, -8.8, -2.2158e-05
, -8.6, -2.1479e-05
, -8.4, -2.0812e-05
, -8.2, -2.0145e-05
, -8.0, -1.9507e-05
, -7.8, -1.8869e-05
, -7.6, -1.823e-05
, -7.4, -1.759e-05
, -7.2, -1.6963e-05
, -7.0, -1.6349e-05
, -6.8, -1.5758e-05
, -6.6, -1.5177e-05
, -6.4, -1.4582e-05
, -6.2, -1.4001e-05
, -6.0, -1.3429e-05
, -5.8, -1.2857e-05
, -5.6, -1.2298e-05
, -5.4, -1.1741e-05
, -5.2, -1.1196e-05
, -5.0, -1.066e-05
, -4.8, -1.0117e-05
, -4.6, -9.5967e-06
, -4.4, -9.0879e-06
, -4.2, -8.5847e-06
, -4.0, -8.0911e-06
, -3.8, -7.6042e-06
, -3.6, -7.1215e-06
, -3.4, -6.6491e-06
, -3.2, -6.1868e-06
, -3.0, -5.7327e-06
, -2.8, -5.2811e-06
, -2.6, -4.8437e-06
, -2.4, -4.4166e-06
, -2.2, -4.0013e-06
, -2.0, -3.5899e-06
, -1.8, -3.1921e-06
, -1.6, -2.7991e-06
, -1.4, -2.4194e-06
, -1.2, -2.045e-06
, -1.0, -1.6817e-06
, -0.8, -1.3288e-06
, -0.6, -9.8397e-07
, -0.4, -6.4696e-07
, -0.2, -3.1925e-07
, 0.0, 4.0498e-10
, 0.2, 3.1602e-07
, 0.4, 6.2987e-07
, 0.6, 9.364e-07
, 0.8, 1.2441e-06
, 1.0, 1.5475e-06
, 1.2, 1.8465e-06
, 1.4, 2.1396e-06
, 1.6, 2.4291e-06
, 1.8, 2.7096e-06
, 2.0, 2.9963e-06
, 2.2, 3.2841e-06
, 2.4, 3.5603e-06
, 2.6, 3.8361e-06
, 2.8, 4.1003e-06
, 3.0, 4.3712e-06
, 3.2, 4.6346e-06
, 3.4, 4.8986e-06
, 3.6, 5.1517e-06
, 3.8, 5.4077e-06
, 4.0, 5.6649e-06
, 4.2, 5.907e-06
, 4.4, 6.1473e-06
, 4.6, 6.3875e-06
, 4.8, 6.6376e-06
, 5.0, 6.8673e-06
, 5.2, 7.1061e-06
, 5.4, 7.3363e-06
, 5.6, 7.5732e-06
, 5.8, 7.7964e-06
, 6.0, 8.027e-06
, 6.2, 8.2423e-06
, 6.4, 8.462e-06
, 6.6, 8.6718e-06
, 6.8, 8.8769e-06
, 7.0, 9.0985e-06
, 7.2, 9.3141e-06
, 7.4, 9.5263e-06
, 7.6, 9.7339e-06
, 7.8, 9.9044e-06
, 8.0, 1.01e-05
, 8.2, 1.0303e-05
, 8.4, 1.054e-05
, 8.6, 1.0741e-05
, 8.8, 1.0938e-05
, 9.0, 1.1136e-05
, 9.2, 1.1302e-05
, 9.4, 1.1504e-05
, 9.6, 1.1692e-05
, 9.8, 1.1869e-05
, 10.0, 1.2074e-05
