, VF, IF
, -10.0, -0.00014678
, -9.8, -0.00014476
, -9.6, -0.00014247
, -9.4, -0.00014009
, -9.2, -0.00013758
, -9.0, -0.00013502
, -8.8, -0.00013241
, -8.6, -0.00012974
, -8.4, -0.00012703
, -8.2, -0.00012428
, -8.0, -0.00012149
, -7.8, -0.00011871
, -7.6, -0.00011589
, -7.4, -0.00011305
, -7.2, -0.00011016
, -7.0, -0.00010725
, -6.8, -0.00010437
, -6.6, -0.00010143
, -6.4, -9.8497e-05
, -6.2, -9.5527e-05
, -6.0, -9.2553e-05
, -5.8, -8.9586e-05
, -5.6, -8.6571e-05
, -5.4, -8.3566e-05
, -5.2, -8.0566e-05
, -5.0, -7.7557e-05
, -4.8, -7.4505e-05
, -4.6, -7.1453e-05
, -4.4, -6.8402e-05
, -4.2, -6.5319e-05
, -4.0, -6.2257e-05
, -3.8, -5.919e-05
, -3.6, -5.6113e-05
, -3.4, -5.3014e-05
, -3.2, -4.9916e-05
, -3.0, -4.6823e-05
, -2.8, -4.3729e-05
, -2.6, -4.0643e-05
, -2.4, -3.7521e-05
, -2.2, -3.4405e-05
, -2.0, -3.1285e-05
, -1.8, -2.818e-05
, -1.6, -2.5049e-05
, -1.4, -2.1919e-05
, -1.2, -1.8794e-05
, -1.0, -1.5674e-05
, -0.8, -1.2542e-05
, -0.6, -9.4029e-06
, -0.4, -6.2668e-06
, -0.2, -3.1391e-06
, 0.0, 1.0649e-09
, 0.2, 3.1344e-06
, 0.4, 6.291e-06
, 0.6, 9.4605e-06
, 0.8, 1.2647e-05
, 1.0, 1.5833e-05
, 1.2, 1.9045e-05
, 1.4, 2.2268e-05
, 1.6, 2.5509e-05
, 1.8, 2.8746e-05
, 2.0, 3.201e-05
, 2.2, 3.5284e-05
, 2.4, 3.8592e-05
, 2.6, 4.1884e-05
, 2.8, 4.5208e-05
, 3.0, 4.8538e-05
, 3.2, 5.1873e-05
, 3.4, 5.5215e-05
, 3.6, 5.8591e-05
, 3.8, 6.1981e-05
, 4.0, 6.5376e-05
, 4.2, 6.8758e-05
, 4.4, 7.2179e-05
, 4.6, 7.56e-05
, 4.8, 7.9028e-05
, 5.0, 8.2459e-05
, 5.2, 8.5923e-05
, 5.4, 8.937e-05
, 5.6, 9.2829e-05
, 5.8, 9.6291e-05
, 6.0, 9.9785e-05
, 6.2, 0.00010327
, 6.4, 0.00010673
, 6.6, 0.00011022
, 6.8, 0.0001137
, 7.0, 0.00011719
, 7.2, 0.00012068
, 7.4, 0.0001242
, 7.6, 0.00012772
, 7.8, 0.00013122
, 8.0, 0.00013469
, 8.2, 0.00013817
, 8.4, 0.0001417
, 8.6, 0.00014524
, 8.8, 0.00014864
, 9.0, 0.00015215
, 9.2, 0.0001557
, 9.4, 0.00015924
, 9.6, 0.00016278
, 9.8, 0.00016634
, 10.0, 0.00016987
