, VG, VDS, ID, IG
, -10.0, 0.1, 3.7207e-10, -1.9036e-07
, -9.9, 0.1, 2.133e-10, -6.8653e-07
, -9.8, 0.1, 2.7889e-10, -9.8354e-08
, -9.7, 0.1, 1.439e-10, -9.7371e-08
, -9.6, 0.1, 1.8298e-10, -7.0672e-09
, -9.5, 0.1, 1.831e-10, -4.7813e-09
, -9.4, 0.1, 1.8222e-10, -4.8187e-09
, -9.3, 0.1, 1.7426e-10, -1.5924e-08
, -9.2, 0.1, 1.6968e-10, -1.4647e-08
, -9.1, 0.1, 1.6488e-10, -5.3912e-09
, -9.0, 0.1, 1.7577e-10, -3.57e-09
, -8.9, 0.1, 1.611e-10, -9.5202e-09
, -8.8, 0.1, 1.5839e-10, -5.6387e-09
, -8.7, 0.1, 1.5626e-10, -8.86e-09
, -8.6, 0.1, 1.5238e-10, -1.5512e-08
, -8.5, 0.1, 1.5774e-10, -3.6938e-09
, -8.4, 0.1, 1.4529e-10, -1.4815e-09
, -8.3, 0.1, 1.4234e-10, -6.144e-09
, -8.2, 0.1, 1.4251e-10, -5.9345e-09
, -8.1, 0.1, 1.3626e-10, -1.4652e-08
, -8.0, 0.1, 1.3447e-10, -1.3682e-08
, -7.9, 0.1, 1.3121e-10, -8.9971e-09
, -7.8, 0.1, 1.3033e-10, -8.345e-09
, -7.7, 0.1, 1.2602e-10, -5.334e-09
, -7.6, 0.1, 1.2401e-10, -2.9556e-09
, -7.5, 0.1, 1.2381e-10, -1.095e-08
, -7.4, 0.1, 1.2094e-10, -8.082e-09
, -7.3, 0.1, 1.2082e-10, -2.3128e-09
, -7.2, 0.1, 1.1923e-10, -8.2482e-09
, -7.1, 0.1, 1.206e-10, -2.4344e-08
, -7.0, 0.1, 1.1405e-10, -6.0041e-09
, -6.9, 0.1, 1.139e-10, -3.796e-08
, -6.8, 0.1, 1.1136e-10, -8.8268e-09
, -6.7, 0.1, 1.0917e-10, -2.4312e-08
, -6.6, 0.1, 1.1025e-10, -6.8299e-09
, -6.5, 0.1, 1.0675e-10, -2.8528e-08
, -6.4, 0.1, 1.0624e-10, -2.4217e-09
, -6.3, 0.1, 1.067e-10, -1.3614e-08
, -6.2, 0.1, 1.0475e-10, -1.7673e-09
, -6.1, 0.1, 1.0398e-10, -9.009e-09
, -6.0, 0.1, 1.0443e-10, -2.2073e-08
, -5.9, 0.1, 1.0379e-10, -1.0496e-08
, -5.8, 0.1, 1.0089e-10, -8.0422e-09
, -5.7, 0.1, 9.989e-11, -3.3884e-08
, -5.6, 0.1, 1.2143e-10, -2.3933e-08
, -5.5, 0.1, 1.1245e-10, -2.4212e-08
, -5.4, 0.1, 9.903e-11, -1.2188e-07
, -5.3, 0.1, 9.626e-11, -2.5079e-09
, -5.2, 0.1, 9.474e-11, -1.8697e-09
, -5.1, 0.1, 9.51e-11, -5.6367e-10
, -5.0, 0.1, 9.511e-11, -3.1363e-09
, -4.9, 0.1, 9.384e-11, -9.132e-08
, -4.8, 0.1, 4.952e-11, -1.7629e-07
, -4.7, 0.1, 6.91e-11, -6.9792e-08
, -4.6, 0.1, 7.424e-11, -7.9134e-08
, -4.5, 0.1, 7.582e-11, -1.9374e-08
, -4.4, 0.1, 7.671e-11, -1.116e-08
, -4.3, 0.1, 7.704e-11, -2.6545e-08
, -4.2, 0.1, 7.727e-11, -8.4889e-08
, -4.1, 0.1, 8.273e-11, -6.6e-08
, -4.0, 0.1, 7.824e-11, -1.7405e-08
, -3.9, 0.1, 8.04e-11, -1.2924e-07
, -3.8, 0.1, 7.775e-11, -1.37e-07
, -3.7, 0.1, 7.729e-11, -9.2346e-08
, -3.6, 0.1, 7.722e-11, -9.3651e-08
, -3.5, 0.1, 5.33e-12, -2.6133e-07
, -3.4, 0.1, 4.6e-11, -9.1707e-08
, -3.3, 0.1, 5.457e-11, -1.7121e-07
, -3.2, 0.1, -1.0987e-10, -0.001
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
, 9.91e+99, 9.91e+99, 9.91e+99, 9.91e+99
